Trajectories
200
,,F1:LASI,,,F1:RASI,,,F1:LPSI,,,F1:RPSI,,,F1:LTHI,,,F1:LKNE,,,F1:LTIB,,,F1:LANK,,,F1:LHEE,,,F1:LTOE,,,F1:RTHI,,,F1:RKNE,,,F1:RTIB,,,F1:RANK,,,F1:RHEE,,,F1:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,390.431,3969.48,970.685,143.77,3961.83,967.15,289.739,4185.76,1007.43,208.13,4179.55,1009.59,,,,388.048,4061.83,496.767,399.482,4151.89,292.18,354.832,4124.8,73.6627,306.787,4168.79,54.8087,302.887,3954.41,37.4996,64.7534,4043.41,755.958,114.695,4080.17,496.003,107.205,4137.27,367.876,143.835,4127.59,76.1668,197.564,4173.86,53.088,176.861,3958.2,40.8154
2,0,390.406,3969.53,970.707,143.774,3961.87,967.152,289.734,4185.82,1007.42,208.127,4179.6,1009.59,,,,388.035,4061.85,496.772,399.492,4151.91,292.18,355.039,4124.72,73.2718,306.78,4168.79,54.8024,302.892,3954.41,37.4911,64.7507,4043.46,755.959,114.587,4080.26,496.089,107.199,4137.3,367.876,143.832,4127.6,76.176,197.566,4173.86,53.0854,176.861,3958.2,40.8143
3,0,390.403,3969.56,970.697,143.773,3961.93,967.153,289.722,4185.87,1007.42,208.117,4179.66,1009.59,,,,388.03,4061.89,496.766,399.479,4151.91,292.167,354.825,4124.81,73.6708,306.777,4168.78,54.801,302.885,3954.42,37.4822,64.7516,4043.49,755.951,114.667,4080.25,496.015,107.186,4137.32,367.877,143.83,4127.6,76.1643,197.561,4173.87,53.0823,176.857,3958.2,40.8173
4,0,390.396,3969.61,970.704,143.741,3961.97,967.153,289.709,4185.93,1007.41,208.107,4179.71,1009.58,,,,388.011,4061.93,496.766,399.484,4151.93,292.166,354.822,4124.81,73.6653,306.774,4168.79,54.8051,302.886,3954.42,37.5048,64.7527,4043.52,755.95,114.577,4080.34,496.077,107.177,4137.35,367.872,143.83,4127.6,76.1708,197.559,4173.86,53.0726,176.866,3958.2,40.8184
5,0,390.357,3969.68,970.721,143.723,3962.02,967.164,289.694,4185.99,1007.4,208.101,4179.77,1009.57,,,,387.996,4061.98,496.768,399.495,4151.97,292.172,354.822,4124.8,73.6527,306.769,4168.79,54.7913,302.888,3954.42,37.4898,64.7684,4043.57,755.936,114.57,4080.37,496.088,107.161,4137.39,367.878,143.833,4127.6,76.1629,197.568,4173.85,53.0583,176.862,3958.2,40.8168
6,0,390.388,3969.72,970.723,143.716,3962.08,967.18,289.693,4186.04,1007.4,208.098,4179.81,1009.57,,,,387.999,4062.02,496.77,399.473,4151.97,292.17,354.994,4124.73,73.3036,306.774,4168.77,54.7935,302.881,3954.41,37.4973,64.769,4043.61,755.906,114.645,4080.34,496.017,107.154,4137.41,367.869,143.826,4127.61,76.1659,197.569,4173.85,53.0618,176.86,3958.2,40.8226
7,0,390.342,3969.78,970.723,143.697,3962.13,967.21,289.682,4186.1,1007.39,208.1,4179.86,1009.56,,,,387.998,4062.05,496.769,399.488,4152.01,292.174,355.004,4124.73,73.3138,306.777,4168.77,54.7825,302.899,3954.41,37.5026,64.7452,4043.64,755.932,114.573,4080.42,496.09,107.153,4137.42,367.836,143.822,4127.6,76.1668,197.561,4173.85,53.0626,176.863,3958.19,40.8189
8,0,390.345,3969.81,970.74,143.704,3962.17,967.183,289.674,4186.16,1007.38,208.096,4179.91,1009.55,,,,387.979,4062.11,496.773,399.476,4152.02,292.171,354.832,4124.8,73.6424,306.778,4168.77,54.7839,302.892,3954.42,37.5078,64.6549,4043.69,755.982,114.562,4080.44,496.095,107.136,4137.46,367.857,143.82,4127.61,76.1586,197.557,4173.85,53.065,176.858,3958.21,40.8188
9,0,390.331,3969.86,970.731,143.704,3962.23,967.196,289.674,4186.21,1007.37,208.084,4179.96,1009.55,,,,387.987,4062.16,496.786,399.467,4152.04,292.164,354.853,4124.8,73.6571,306.774,4168.77,54.7687,302.897,3954.41,37.5117,64.7066,4043.74,755.948,114.557,4080.48,496.099,107.108,4137.49,367.864,143.828,4127.61,76.1542,197.558,4173.83,53.0493,176.855,3958.2,40.8177
