Trajectories
200
,,F5:LASI,,,F5:RASI,,,F5:LPSI,,,F5:RPSI,,,F5:LTHI,,,F5:LKNE,,,F5:LTIB,,,F5:LANK,,,F5:LHEE,,,F5:LTOE,,,F5:RTHI,,,F5:RKNE,,,F5:RTIB,,,F5:RANK,,,F5:RHEE,,,F5:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,433.72,3555.91,896.023,202.413,3557.38,902.498,361.984,3759.07,949.579,283.771,3759.18,952.355,,,,480.025,3672.65,471.994,450.928,3646.83,351.581,446.875,3716.43,77.2329,402.827,3768.81,46.7286,369.481,3558.55,45.6238,119.097,3674.11,794.359,165.394,3678.9,473.287,155.795,3747.7,386.769,195.928,3719.61,74.086,234.055,3773.55,61.0315,255.394,3556.92,47.2159
2,0,433.709,3555.89,896.022,202.392,3557.39,902.483,361.971,3759.08,949.595,283.755,3759.19,952.349,,,,480.03,3672.64,471.993,450.921,3646.81,351.574,446.872,3716.43,77.2357,402.83,3768.82,46.7369,369.47,3558.55,45.6327,119.109,3674.11,794.353,165.366,3678.92,473.302,155.789,3747.72,386.78,195.903,3719.62,74.1027,234.031,3773.57,61.0663,255.432,3556.92,47.2312
3,0,433.728,3555.91,896.017,202.377,3557.4,902.495,361.953,3759.09,949.589,283.743,3759.19,952.367,,,,480.039,3672.66,472.009,450.897,3646.82,351.588,446.882,3716.43,77.236,402.816,3768.83,46.7397,369.479,3558.56,45.6349,119.088,3674.14,794.364,165.362,3678.94,473.292,155.782,3747.73,386.77,195.902,3719.62,74.0962,234.033,3773.58,61.0494,255.376,3556.92,47.2201
4,0,433.691,3555.91,896.003,202.358,3557.42,902.49,361.948,3759.08,949.585,283.722,3759.2,952.372,,,,480.025,3672.66,472.014,450.899,3646.83,351.598,446.87,3716.43,77.2356,402.83,3768.82,46.7388,369.476,3558.56,45.6301,119.063,3674.15,794.359,165.361,3678.95,473.284,155.782,3747.74,386.764,195.892,3719.65,74.1151,234.038,3773.56,61.0535,255.406,3556.91,47.2306
5,0,433.671,3555.91,895.997,202.341,3557.43,902.497,361.919,3759.12,949.622,283.728,3759.2,952.371,,,,480.011,3672.67,472.019,450.903,3646.85,351.582,446.869,3716.43,77.2318,402.823,3768.83,46.7387,369.486,3558.55,45.6299,119.047,3674.18,794.374,165.339,3678.96,473.285,155.769,3747.75,386.765,195.911,3719.62,74.0886,234.037,3773.57,61.0492,255.37,3556.92,47.2225
6,0,433.639,3555.91,895.981,202.299,3557.44,902.481,361.924,3759.13,949.612,283.708,3759.21,952.382,,,,480.002,3672.68,472.026,450.912,3646.85,351.591,446.889,3716.42,77.2279,402.824,3768.82,46.745,369.488,3558.56,45.6258,119.039,3674.19,794.371,165.331,3678.97,473.282,155.763,3747.75,386.756,195.794,3719.84,74.2804,234.047,3773.56,61.0484,255.382,3556.93,47.2284
7,0,433.607,3555.9,895.998,202.299,3557.45,902.478,361.897,3759.14,949.622,283.689,3759.22,952.386,,,,480.01,3672.68,472.016,450.886,3646.86,351.594,446.869,3716.43,77.2399,402.828,3768.82,46.7398,369.486,3558.55,45.6272,119.019,3674.21,794.365,165.337,3678.97,473.27,155.763,3747.76,386.752,195.921,3719.63,74.0838,234.043,3773.57,61.0344,255.47,3556.92,47.2317
8,0,433.587,3555.91,895.993,202.282,3557.48,902.478,361.897,3759.16,949.636,283.669,3759.24,952.394,496.624,3592.85,712.767,479.983,3672.69,472.03,450.893,3646.84,351.591,446.867,3716.43,77.2297,402.826,3768.83,46.7353,369.482,3558.55,45.6299,118.995,3674.24,794.367,165.315,3679,473.281,155.759,3747.76,386.747,195.924,3719.64,74.0928,234.042,3773.56,61.0352,255.462,3556.92,47.2352
9,0,433.573,3555.91,895.979,202.261,3557.49,902.474,362.038,3759.35,949.764,283.663,3759.25,952.387,496.615,3592.86,712.766,479.989,3672.69,472.04,450.894,3646.87,351.61,446.879,3716.42,77.2307,402.826,3768.83,46.7377,369.459,3558.57,45.6475,118.993,3674.25,794.363,165.3,3679.01,473.283,155.757,3747.78,386.747,195.92,3719.67,74.1101,234.047,3773.55,61.0258,255.36,3556.94,47.2162
10,0,433.544,3555.94,895.984,202.225,3557.51,902.47,361.881,3759.18,949.642,283.656,3759.25,952.404,496.614,3592.89,712.775,479.983,3672.7,472.038,450.887,3646.88,351.606,446.873,3716.43,77.2275,402.827,3768.82,46.7466,369.481,3558.55,45.6302,118.975,3674.26,794.366,165.3,3679.01,473.277,155.745,3747.79,386.744,195.757,3719.87,74.2975,234.057,3773.55,61.0243,255.478,3556.92,47.2363
11,0,433.536,3555.93,895.975,202.226,3557.52,902.461,361.878,3759.19,949.645,283.64,3759.29,952.414,496.586,3592.91,712.775,479.967,3672.71,472.03,450.869,3646.88,351.598,446.866,3716.41,77.2395,402.822,3768.83,46.7401,369.478,3558.55,45.622,118.952,3674.29,794.366,165.294,3679.03,473.281,155.712,3747.83,386.761,195.935,3719.65,74.0845,234.044,3773.57,61.0236,255.38,3556.93,47.2305
12,0,433.502,3555.94,895.973,202.222,3557.54,902.457,361.857,3759.22,949.646,283.63,3759.3,952.404,497.223,3593.26,713.135,479.948,3672.72,472.021,450.879,3646.88,351.611,446.873,3716.42,77.25,402.826,3768.83,46.7385,369.459,3558.56,45.6476,118.935,3674.32,794.372,165.275,3679.04,473.279,155.732,3747.82,386.746,195.923,3719.63,74.0804,234.043,3773.56,61.0195,255.37,3556.94,47.2343
13,0,433.449,3555.94,895.965,202.204,3557.56,902.442,361.859,3759.24,949.666,283.616,3759.31,952.428,497.166,3593.23,713.098,479.934,3672.74,472.026,450.86,3646.9,351.632,446.863,3716.43,77.2357,402.833,3768.82,46.7404,369.477,3558.56,45.617,118.922,3674.34,794.374,165.268,3679.05,473.286,155.734,3747.82,386.739,195.94,3719.68,74.0987,234.055,3773.56,61.0099,255.37,3556.93,47.2263
14,0,433.431,3555.95,895.961,202.168,3557.6,902.446,361.833,3759.26,949.652,283.598,3759.33,952.431,497.158,3593.25,713.11,479.943,3672.75,472.043,450.843,3646.9,351.612,446.867,3716.42,77.2413,402.819,3768.83,46.7434,369.481,3558.56,45.6563,118.907,3674.36,794.367,165.251,3679.07,473.282,155.724,3747.84,386.744,195.926,3719.64,74.0804,234.039,3773.57,61.018,255.403,3556.93,47.2346
15,0,433.419,3555.96,895.953,202.132,3557.62,902.449,361.817,3759.27,949.649,283.592,3759.34,952.429,497.148,3593.27,713.126,479.916,3672.77,472.035,450.874,3646.94,351.628,446.882,3716.43,77.2467,402.826,3768.83,46.7505,369.472,3558.56,45.6151,118.851,3674.4,794.38,165.236,3679.09,473.278,155.714,3747.85,386.736,195.925,3719.61,74.0568,234.042,3773.56,61.008,255.493,3556.92,47.2448
16,0,433.381,3555.97,895.958,202.119,3557.63,902.437,361.813,3759.29,949.649,283.561,3759.38,952.43,497.13,3593.31,713.139,479.903,3672.76,472.032,450.863,3646.93,351.619,446.865,3716.43,77.2455,402.815,3768.84,46.7463,369.479,3558.55,45.6201,118.828,3674.41,794.389,165.241,3679.1,473.281,155.707,3747.86,386.735,195.924,3719.63,74.0706,234.046,3773.56,61.012,255.459,3556.93,47.2401
17,0,433.353,3556,895.967,202.098,3557.65,902.432,361.818,3759.34,949.671,283.559,3759.39,952.437,497.1,3593.31,713.124,479.893,3672.79,472.04,450.83,3646.96,351.625,446.869,3716.43,77.2475,402.826,3768.83,46.7415,369.466,3558.56,45.6204,118.812,3674.44,794.381,165.235,3679.11,473.276,155.697,3747.88,386.732,195.919,3719.62,74.069,234.046,3773.56,61.002,255.405,3556.94,47.2348
18,0,433.344,3556.01,895.96,202.049,3557.67,902.446,361.828,3759.39,949.728,283.542,3759.42,952.422,497.103,3593.36,713.154,479.877,3672.79,472.04,450.839,3646.95,351.631,446.874,3716.42,77.2518,402.82,3768.83,46.7387,369.476,3558.55,45.6217,118.801,3674.46,794.383,165.22,3679.14,473.289,155.693,3747.89,386.735,195.742,3719.89,74.2985,234.04,3773.57,61.0075,255.382,3556.94,47.2295
19,0,433.297,3556.03,895.963,202.027,3557.69,902.438,361.761,3759.36,949.667,283.529,3759.43,952.431,497.057,3593.32,713.113,479.857,3672.82,472.052,450.833,3646.99,351.627,446.874,3716.42,77.2459,402.815,3768.84,46.7442,369.482,3558.55,45.6174,118.808,3674.48,794.371,165.202,3679.15,473.286,155.689,3747.91,386.729,195.946,3719.7,74.1019,234.052,3773.55,60.9974,255.311,3556.95,47.2223
20,0,433.286,3556.06,895.961,202.015,3557.71,902.434,361.741,3759.39,949.661,283.503,3759.47,952.418,497.043,3593.35,713.131,479.843,3672.82,472.046,450.816,3646.97,351.655,446.872,3716.44,77.2475,402.822,3768.84,46.7425,369.467,3558.55,45.6294,118.785,3674.51,794.369,165.19,3679.17,473.281,155.668,3747.93,386.726,195.913,3719.64,74.0767,234.057,3773.55,60.988,255.406,3556.94,47.2395
21,0,433.252,3556.07,895.969,201.995,3557.73,902.423,361.737,3759.4,949.653,283.479,3759.5,952.43,497.001,3593.36,713.126,479.857,3672.84,472.047,450.815,3647,351.671,446.869,3716.42,77.2445,402.816,3768.84,46.7568,369.468,3558.56,45.6477,118.776,3674.53,794.373,165.18,3679.18,473.282,155.665,3747.94,386.723,195.901,3719.66,74.0844,234.043,3773.56,61.0042,255.439,3556.93,47.2441
22,0,433.261,3556.09,895.968,201.96,3557.76,902.425,361.709,3759.43,949.665,283.455,3759.53,952.427,496.994,3593.4,713.156,479.801,3672.84,472.042,450.815,3647.02,351.64,446.88,3716.43,77.2532,402.832,3768.83,46.7382,369.482,3558.56,45.6504,118.762,3674.56,794.366,165.169,3679.19,473.284,155.65,3747.94,386.722,195.91,3719.65,74.0666,234.045,3773.56,61.0048,255.408,3556.93,47.2451
