Trajectories
200
,,F6:LASI,,,F6:RASI,,,F6:LPSI,,,F6:RPSI,,,F6:LTHI,,,F6:LKNE,,,F6:LTIB,,,F6:LANK,,,F6:LHEE,,,F6:LTOE,,,F6:RTHI,,,F6:RKNE,,,F6:RTIB,,,F6:RANK,,,F6:RHEE,,,F6:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,476.403,3846.59,925.725,235.838,3856.69,925.944,409.328,4067.3,956.212,326.663,4069.35,958.939,517.206,3871.17,658.454,513.248,3961.6,472.982,503.269,3958.84,325.387,486.091,4013.75,69.2614,449.548,4072.93,42.8989,427.775,3851.64,39.9405,210.096,3874.56,629.232,204,3962.4,470.171,234.713,3948.15,275.358,241.046,3994.27,63.9629,285.367,4059.8,43.5414,273.111,3839.41,44.6312
2,0,476.408,3846.53,925.698,235.867,3856.64,925.892,409.381,4067.26,956.231,326.7,4069.34,958.945,517.244,3871.14,658.447,513.247,3961.58,472.97,503.302,3958.84,325.382,486.075,4013.78,69.2773,449.553,4072.93,42.8941,427.762,3851.64,39.94,210.093,3874.57,629.237,204.025,3962.43,470.162,234.716,3948.19,275.364,241.048,3994.3,63.9431,286.322,4060.01,43.8788,273.134,3839.39,44.6321
3,0,476.426,3846.45,925.673,235.876,3856.6,925.879,409.424,4067.23,956.237,326.748,4069.3,958.956,517.258,3871.1,658.435,513.245,3961.54,472.946,503.303,3958.85,325.377,486.07,4013.76,69.2744,449.57,4072.92,42.9023,427.754,3851.65,39.9363,210.091,3874.6,629.24,203.847,3962.27,470.411,234.731,3948.18,275.359,241.394,3994.03,64.3426,286.266,4059.95,43.8463,273.125,3839.39,44.6187
4,0,476.462,3846.4,925.658,235.861,3856.57,925.851,409.459,4067.19,956.238,326.788,4069.27,958.979,517.261,3871.05,658.428,513.269,3961.54,472.966,503.336,3958.84,325.362,486.073,4013.76,69.2689,449.569,4072.92,42.8963,427.75,3851.64,39.9342,210.037,3874.77,629.39,203.843,3962.34,470.423,234.734,3948.19,275.306,241.609,3993.82,64.3962,286.454,4060.04,43.9581,273.124,3839.39,44.6283
5,0,476.434,3846.34,925.654,235.889,3856.56,925.831,409.516,4067.14,956.254,326.836,4069.24,958.972,517.264,3871.02,658.434,513.277,3961.53,472.967,503.325,3958.86,325.36,486.083,4013.76,69.2663,449.565,4072.94,42.8956,427.754,3851.65,39.936,210.071,3874.65,629.261,203.861,3962.36,470.428,234.734,3948.24,275.401,241.591,3993.84,64.4062,286.354,4060.03,43.9184,273.115,3839.39,44.6138
6,0,476.453,3846.29,925.652,235.895,3856.55,925.802,409.56,4067.1,956.264,326.877,4069.2,958.983,517.263,3870.97,658.434,513.261,3961.53,472.943,503.353,3958.87,325.379,486.059,4013.78,69.2677,449.571,4072.94,42.8908,427.758,3851.63,39.9411,210.058,3874.68,629.295,203.892,3962.38,470.436,234.756,3948.22,275.442,241.597,3993.84,64.3958,286.324,4059.96,43.8947,273.12,3839.39,44.6323
7,0,476.47,3846.22,925.645,235.897,3856.54,925.772,409.613,4067.04,956.276,326.936,4069.13,958.977,517.259,3870.93,658.43,513.264,3961.52,472.946,503.357,3958.87,325.373,486.063,4013.79,69.2971,449.56,4072.94,42.8979,427.728,3851.65,39.9326,210.01,3874.82,629.423,203.898,3962.42,470.468,234.75,3948.27,275.447,241.471,3993.94,64.3363,286.125,4059.98,43.8114,273.107,3839.4,44.6395
8,0,476.457,3846.17,925.639,235.902,3856.49,925.769,409.658,4066.99,956.283,326.972,4069.08,958.99,517.244,3870.92,658.416,513.281,3961.52,472.933,503.372,3958.89,325.358,486.047,4013.81,69.2851,449.564,4072.95,42.9065,427.736,3851.64,39.9295,209.976,3874.85,629.443,203.94,3962.46,470.447,234.75,3948.29,275.472,241.435,3993.92,64.3516,286.185,4059.96,43.8225,273.088,3839.41,44.6169
9,0,476.457,3846.11,925.626,235.914,3856.48,925.776,409.71,4066.93,956.28,327.023,4069.03,959.01,517.25,3870.87,658.431,513.284,3961.52,472.945,503.389,3958.9,325.374,486.063,4013.79,69.2962,449.562,4072.94,42.8879,427.722,3851.64,39.9257,209.982,3874.87,629.437,203.906,3962.49,470.482,234.708,3948.33,275.455,241.452,3993.97,64.3881,286.185,4059.94,43.8189,273.073,3839.37,44.6243
10,0,476.461,3846.04,925.615,235.914,3856.43,925.775,409.762,4066.87,956.28,327.071,4069.01,959.056,517.23,3870.84,658.435,513.303,3961.52,472.943,503.376,3958.9,325.367,486.037,4013.82,69.2936,449.564,4072.95,42.9122,427.715,3851.64,39.9304,209.992,3874.86,629.444,203.92,3962.52,470.505,234.763,3948.31,275.432,241.486,3993.97,64.3766,286.159,4059.93,43.8004,273.096,3839.37,44.6518
11,0,476.434,3845.98,925.631,235.926,3856.45,925.741,409.809,4066.83,956.3,327.121,4068.95,959.06,517.242,3870.83,658.395,513.325,3961.52,472.957,503.387,3958.91,325.374,486.019,4013.83,69.2968,449.554,4072.95,42.8909,427.704,3851.65,39.9174,209.968,3874.89,629.449,203.943,3962.53,470.492,234.741,3948.36,275.495,241.458,3993.96,64.3727,286.183,4059.94,43.8173,273.059,3839.39,44.6338
12,0,476.434,3845.93,925.634,235.917,3856.4,925.772,409.857,4066.76,956.314,327.159,4068.93,959.08,517.258,3870.8,658.408,513.333,3961.51,472.964,503.373,3958.92,325.371,486.025,4013.83,69.2986,449.571,4072.95,42.8883,427.709,3851.63,39.9332,209.977,3874.91,629.438,203.986,3962.58,470.492,234.733,3948.4,275.457,241.501,3993.95,64.4007,286.28,4059.92,43.8532,273.07,3839.39,44.6629
13,0,476.408,3845.87,925.624,235.945,3856.41,925.754,409.892,4066.73,956.324,327.233,4068.85,959.092,517.257,3870.8,658.42,513.336,3961.56,473.011,503.394,3958.92,325.379,486.021,4013.84,69.3115,449.527,4072.96,42.8869,427.698,3851.64,39.9236,209.971,3874.93,629.442,203.944,3962.67,470.537,234.747,3948.44,275.51,241.514,3993.92,64.3904,286.315,4059.94,43.8931,273.049,3839.37,44.6412
14,0,476.4,3845.81,925.608,235.967,3856.34,925.765,409.95,4066.65,956.331,327.27,4068.84,959.121,517.233,3870.77,658.376,513.328,3961.55,473.007,503.392,3958.94,325.339,486.022,4013.84,69.3153,449.551,4072.96,42.8823,427.684,3851.64,39.9306,209.951,3874.97,629.449,204.006,3962.7,470.503,234.719,3948.45,275.527,241.528,3993.95,64.4089,286.365,4059.96,43.906,273.068,3839.39,44.6601
15,0,476.418,3845.75,925.613,235.972,3856.36,925.762,409.988,4066.61,956.351,327.319,4068.79,959.138,517.228,3870.76,658.36,513.335,3961.5,472.967,503.419,3958.93,325.351,486.004,4013.85,69.3057,449.575,4072.95,42.9211,427.694,3851.65,39.9238,209.968,3874.98,629.423,204.003,3962.74,470.52,234.722,3948.52,275.521,241.523,3993.95,64.4071,286.329,4059.96,43.8948,273.068,3839.36,44.6647
16,0,476.407,3845.68,925.6,235.959,3856.32,925.762,410.032,4066.55,956.366,327.36,4068.76,959.151,517.23,3870.76,658.354,513.313,3961.5,472.987,503.407,3958.91,325.325,486.008,4013.87,69.3127,449.561,4072.95,42.903,427.685,3851.66,39.9366,209.964,3874.98,629.435,203.963,3962.81,470.569,234.72,3948.56,275.53,241.57,3993.92,64.3999,286.402,4059.95,43.9096,273.052,3839.36,44.6464
17,0,476.412,3845.62,925.584,236.004,3856.29,925.759,410.078,4066.5,956.375,327.405,4068.72,959.167,517.211,3870.75,658.317,513.339,3961.47,472.975,503.419,3958.93,325.337,486,4013.86,69.3011,449.55,4072.96,42.8939,427.694,3851.66,39.9464,209.932,3875.01,629.407,204.038,3962.85,470.54,234.652,3948.62,275.46,241.556,3993.95,64.4068,286.203,4059.89,43.7955,273.049,3839.38,44.6569
18,0,476.39,3845.56,925.565,235.999,3856.26,925.795,410.12,4066.45,956.382,327.45,4068.65,959.172,517.21,3870.7,658.317,513.336,3961.45,472.978,503.427,3958.92,325.335,486.002,4013.87,69.3079,449.545,4072.93,42.9036,427.688,3851.66,39.9343,209.953,3875.03,629.398,204.056,3962.92,470.55,234.669,3948.66,275.488,241.549,3993.97,64.4093,286.461,4060.01,43.9669,273.053,3839.34,44.6371
