Trajectories
200
,,F6:LASI,,,F6:RASI,,,F6:LPSI,,,F6:RPSI,,,F6:LTHI,,,F6:LKNE,,,F6:LTIB,,,F6:LANK,,,F6:LHEE,,,F6:LTOE,,,F6:RTHI,,,F6:RKNE,,,F6:RTIB,,,F6:RANK,,,F6:RHEE,,,F6:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,500.442,3872.83,922.685,260.408,3880.76,923.766,429.58,4093.08,955.889,346.043,4094.03,956.851,541.457,3904.51,656.135,538.291,3999.3,472.854,529.795,3997.19,325.607,510.043,4047.29,69.0142,469.884,4103.48,42.7228,464.983,3881.15,39.4114,230.407,3902.15,627.386,219.253,3993.26,470.015,246,3981.47,275.682,246.626,4029,64.579,290.112,4095.04,43.961,280.584,3874.38,44.3987
2,0,500.407,3872.83,922.682,260.369,3880.79,923.763,429.573,4093.1,955.895,346.03,4094.06,956.855,541.441,3904.55,656.14,538.275,3999.33,472.853,529.807,3997.2,325.603,510.051,4047.31,68.995,469.879,4103.49,42.7357,464.978,3881.16,39.417,230.346,3902.18,627.396,219.258,3993.3,470.008,245.986,3981.46,275.68,246.663,4029,64.6286,290.961,4095.13,44.2706,280.597,3874.36,44.3867
3,0,500.402,3872.85,922.669,260.389,3880.79,923.777,429.562,4093.11,955.906,346.021,4094.08,956.866,541.466,3904.73,656.226,538.31,3999.34,472.867,529.802,3997.22,325.597,510.047,4047.33,69.0166,469.892,4103.48,42.742,464.99,3881.17,39.4159,230.364,3902.19,627.391,218.977,3993.08,470.345,245.964,3981.49,275.685,247.087,4028.78,64.9185,290.133,4095.03,43.9603,280.572,3874.38,44.3934
4,0,500.408,3872.86,922.674,260.39,3880.83,923.78,429.555,4093.12,955.918,346.02,4094.08,956.882,541.481,3904.76,656.23,538.285,3999.36,472.854,529.8,3997.2,325.611,510.062,4047.31,69.0114,469.886,4103.5,42.7308,465,3881.18,39.4205,230.377,3902.2,627.391,218.964,3993.09,470.348,245.987,3981.5,275.698,247.091,4028.76,64.9176,290.81,4095.13,44.1774,280.584,3874.38,44.3955
5,0,500.407,3872.88,922.671,260.35,3880.81,923.798,429.557,4093.14,955.927,346.006,4094.13,956.906,541.554,3904.83,656.326,538.287,3999.38,472.877,529.8,3997.24,325.607,510.051,4047.33,69.0192,469.902,4103.49,42.7305,464.986,3881.16,39.416,230.388,3902.2,627.402,218.939,3993.11,470.353,245.972,3981.51,275.704,247.053,4028.76,64.9158,290.106,4095.07,43.9387,280.579,3874.38,44.4001
6,0,500.37,3872.9,922.676,260.332,3880.86,923.865,429.523,4093.17,955.923,345.999,4094.13,956.918,541.505,3904.82,656.236,538.293,3999.4,472.875,529.805,3997.25,325.629,510.037,4047.36,69.0122,469.918,4103.48,42.7022,464.972,3881.17,39.4163,230.372,3902.23,627.417,218.947,3993.13,470.357,245.962,3981.5,275.702,247.029,4028.79,64.9188,290.034,4095.04,43.8708,280.574,3874.38,44.4003
7,0,500.373,3872.91,922.674,260.333,3880.85,923.875,429.519,4093.18,955.951,345.982,4094.16,956.93,541.52,3904.83,656.252,538.283,3999.43,472.872,529.806,3997.27,325.626,510.016,4047.35,69.0133,469.885,4103.5,42.7164,464.974,3881.18,39.4109,230.37,3902.25,627.443,218.933,3993.12,470.405,245.947,3981.51,275.719,246.985,4028.79,64.9114,290.024,4095.04,43.884,280.565,3874.39,44.412
8,0,500.344,3872.93,922.674,260.333,3880.88,923.774,429.51,4093.19,955.961,345.986,4094.17,956.953,541.539,3904.87,656.282,538.277,3999.44,472.884,529.801,3997.27,325.637,510.022,4047.37,69.0172,469.878,4103.51,42.7338,464.969,3881.18,39.4173,230.351,3902.29,627.465,218.926,3993.14,470.398,245.914,3981.52,275.722,246.953,4028.82,64.9134,290.107,4095.04,43.9437,280.561,3874.39,44.391
9,0,500.335,3872.94,922.667,260.282,3880.9,923.878,429.498,4093.2,955.958,345.959,4094.18,956.953,541.55,3904.88,656.306,538.285,3999.47,472.889,529.807,3997.28,325.651,510.001,4047.38,69.0234,469.867,4103.5,42.7107,464.945,3881.18,39.416,230.359,3902.29,627.485,218.911,3993.14,470.365,245.975,3981.51,275.775,246.995,4028.8,64.9553,290.127,4095.03,43.9335,280.557,3874.39,44.3995
