Trajectories
200
,,F6:LASI,,,F6:RASI,,,F6:LPSI,,,F6:RPSI,,,F6:LTHI,,,F6:LKNE,,,F6:LTIB,,,F6:LANK,,,F6:LHEE,,,F6:LTOE,,,F6:RTHI,,,F6:RKNE,,,F6:RTIB,,,F6:RANK,,,F6:RHEE,,,F6:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,470.158,3854.45,922.011,229.919,3850.65,922.723,390.411,4070,957.345,307.439,4067.71,961.236,504.457,3886.3,655.004,492.039,3980.5,471.87,480.2,3981,324.431,457.066,4040.83,69.8342,417.01,4098.49,43.7487,407.706,3876.12,40.561,204.002,3873.33,627.64,194.168,3962.92,469.922,226.271,3954.45,275.1,227.892,4004.01,64.2764,264.928,4074.65,45.4995,277.595,3854.07,44.4666
2,0,470.142,3854.45,921.997,229.906,3850.67,922.713,390.398,4070.01,957.355,307.432,4067.73,961.238,504.452,3886.29,655.009,492.044,3980.49,471.884,480.201,3981,324.447,457.054,4040.84,69.8418,418.105,4098.63,44.3512,407.717,3876.12,40.5653,203.96,3873.36,627.651,194.16,3962.96,469.922,226.26,3954.46,275.105,227.882,4003.96,64.3062,265.085,4074.56,45.5471,277.629,3854.06,44.4727
3,0,470.134,3854.48,922.088,229.91,3850.7,922.704,390.391,4070,957.362,307.438,4067.74,961.243,504.423,3886.3,655.019,492.022,3980.5,471.862,480.195,3980.99,324.448,457.051,4040.86,69.8471,418.115,4098.64,44.3618,407.696,3876.12,40.5629,203.922,3873.36,627.522,193.795,3962.73,470.191,226.268,3954.45,275.095,228.226,4003.71,64.6103,264.908,4074.56,45.4547,277.627,3854.06,44.4662
4,0,470.117,3854.49,922.095,229.86,3850.71,922.722,390.387,4070.01,957.364,307.446,4067.75,961.234,504.413,3886.28,655.047,492.02,3980.53,471.861,480.19,3981.02,324.449,457.071,4040.85,69.847,416.976,4098.49,43.7473,407.707,3876.12,40.5571,203.971,3873.38,627.655,193.785,3962.75,470.195,226.229,3954.47,275.011,228.169,4003.82,64.6179,264.94,4074.58,45.4646,277.623,3854.04,44.4516
5,0,470.094,3854.48,921.999,229.852,3850.72,922.73,390.376,4070,957.365,307.441,4067.77,961.248,504.399,3886.32,655.04,492.012,3980.54,471.879,480.178,3981.01,324.467,457.044,4040.86,69.8492,416.993,4098.46,43.7227,407.686,3876.12,40.559,203.951,3873.4,627.658,193.757,3962.76,470.191,226.224,3954.48,275.106,228.182,4003.73,64.6023,265.094,4074.55,45.5472,277.604,3854.06,44.4592
6,0,470.039,3854.47,922.022,229.827,3850.73,922.733,390.382,4069.99,957.381,307.441,4067.8,961.255,504.387,3886.33,655.04,492.012,3980.55,471.897,480.162,3981.03,324.463,457.037,4040.88,69.8718,417.989,4098.62,44.2977,407.675,3876.13,40.556,203.956,3873.41,627.652,193.755,3962.76,470.192,226.189,3954.51,275.094,228.169,4003.73,64.5991,264.912,4074.59,45.461,277.619,3854.08,44.4723
7,0,470.006,3854.47,922.033,229.832,3850.74,922.754,390.381,4070.01,957.396,307.445,4067.82,961.236,504.388,3886.32,655.074,492.003,3980.58,471.895,480.189,3981.05,324.483,457.043,4040.9,69.8702,417.897,4098.59,44.2608,407.643,3876.13,40.5522,203.938,3873.42,627.67,193.718,3962.78,470.198,226.208,3954.51,275.114,228.159,4003.73,64.5993,264.872,4074.53,45.4283,277.592,3854.07,44.4659
8,0,469.98,3854.51,922.15,229.786,3850.76,922.761,390.38,4069.99,957.407,307.443,4067.82,961.245,504.392,3886.34,655.094,491.988,3980.59,471.902,480.167,3981.06,324.488,457.021,4040.91,69.8729,417.056,4098.49,43.7998,407.625,3876.15,40.5517,203.902,3873.45,627.671,193.709,3962.77,470.201,226.197,3954.48,275.056,228.14,4003.78,64.6242,265.094,4074.56,45.5443,277.578,3854.08,44.4691
9,0,469.925,3854.48,922.077,229.786,3850.78,922.77,390.383,4070.01,957.433,307.449,4067.83,961.258,504.371,3886.34,655.107,491.99,3980.6,471.891,480.176,3981.06,324.492,457.01,4040.91,69.8601,417.817,4098.58,44.2118,407.636,3876.16,40.571,203.908,3873.46,627.685,193.677,3962.77,470.168,226.199,3954.5,275.146,228.128,4003.78,64.6412,264.915,4074.57,45.4539,277.588,3854.1,44.4833
10,0,469.89,3854.48,922.093,229.734,3850.8,922.849,390.39,4070.01,957.448,307.452,4067.84,961.272,504.362,3886.35,655.085,491.993,3980.61,471.902,480.179,3981.07,324.522,456.997,4040.93,69.8943,416.987,4098.52,43.7876,407.66,3876.13,40.5862,203.89,3873.48,627.68,193.663,3962.79,470.218,226.147,3954.49,275.076,228.125,4003.72,64.6237,264.9,4074.54,45.4424,277.597,3854.08,44.4765
11,0,469.852,3854.5,922.164,229.714,3850.82,922.851,390.473,4069.88,957.482,307.454,4067.87,961.287,504.381,3886.33,655.094,491.981,3980.62,471.888,480.161,3981.09,324.515,457.012,4040.92,69.8857,417.025,4098.46,43.759,407.604,3876.15,40.567,203.853,3873.5,627.678,193.652,3962.78,470.23,226.144,3954.52,275.116,228.118,4003.78,64.6437,265.088,4074.55,45.54,277.585,3854.09,44.493
12,0,469.828,3854.49,922.146,229.692,3850.84,922.831,390.478,4069.88,957.49,307.449,4067.86,961.287,504.356,3886.33,655.12,491.973,3980.65,471.91,480.159,3981.11,324.522,456.987,4040.95,69.888,417.517,4098.53,44.0712,407.607,3876.15,40.5494,203.782,3873.55,627.704,193.634,3962.77,470.224,226.156,3954.49,275.131,228.115,4003.75,64.6522,265.001,4074.57,45.4891,277.602,3854.1,44.4702
