Trajectories
200
,,F6:LASI,,,F6:RASI,,,F6:LPSI,,,F6:RPSI,,,F6:LTHI,,,F6:LKNE,,,F6:LTIB,,,F6:LANK,,,F6:LHEE,,,F6:LTOE,,,F6:RTHI,,,F6:RKNE,,,F6:RTIB,,,F6:RANK,,,F6:RHEE,,,F6:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,467.036,3877.8,924.581,226.851,3873.95,921.531,386.778,4093.64,955.785,303.464,4091.22,958.209,507.132,3904.97,658.388,500.428,3996.04,473.983,492.473,3993.62,326.902,476.665,4048.04,70.0984,437.712,4105.89,43.3345,425.025,3883.93,40.4,201.56,3898.07,625.609,193.029,3989.63,468.576,224.954,3981.69,273.717,230.797,4033.61,64.0175,275.023,4100.52,44.8319,266.275,3879.6,44.6532
2,0,467.057,3877.76,924.573,226.861,3873.94,921.518,386.809,4093.62,955.778,303.502,4091.21,958.236,507.153,3904.94,658.384,500.434,3996.03,473.978,492.483,3993.6,326.904,476.674,4048.04,70.1114,437.719,4105.9,43.3472,425.032,3883.92,40.3704,201.569,3898.07,625.611,193.026,3989.64,468.588,224.921,3981.71,273.698,230.817,4033.57,64.0414,274.999,4100.47,44.8128,266.272,3879.61,44.6596
3,0,467.064,3877.75,924.557,226.838,3873.94,921.522,386.836,4093.59,955.793,303.53,4091.19,958.233,507.142,3904.93,658.362,500.436,3996.03,473.982,492.501,3993.6,326.898,476.664,4048.05,70.0962,437.719,4105.9,43.3349,425.03,3883.91,40.3742,201.588,3898.06,625.604,192.793,3989.45,468.865,224.934,3981.7,273.715,231.3,4033.35,64.3225,274.721,4100.57,44.77,266.276,3879.59,44.6621
4,0,467.068,3877.71,924.533,226.85,3873.93,921.488,386.863,4093.55,955.785,303.557,4091.17,958.247,507.171,3904.91,658.362,500.465,3996.04,473.987,492.508,3993.61,326.906,476.664,4048.04,70.1145,437.702,4105.9,43.3445,425.014,3883.92,40.3673,201.594,3898.05,625.596,192.805,3989.44,468.809,224.959,3981.68,273.691,231.306,4033.35,64.3264,274.704,4100.5,44.7153,266.276,3879.6,44.6577
5,0,467.113,3877.67,924.452,226.844,3873.93,921.492,386.894,4093.52,955.8,303.576,4091.16,958.246,507.161,3904.91,658.345,500.466,3996.03,473.994,492.508,3993.62,326.915,476.669,4048.05,70.1065,437.726,4105.89,43.3235,425.018,3883.92,40.3825,201.58,3898.06,625.619,192.827,3989.44,468.824,224.92,3981.68,273.703,231.256,4033.41,64.3283,275.247,4100.46,44.9346,266.27,3879.6,44.6644
6,0,467.116,3877.64,924.441,226.865,3873.92,921.49,386.926,4093.5,955.798,303.615,4091.14,958.25,507.169,3904.9,658.353,500.466,3996.03,473.978,492.529,3993.61,326.91,476.646,4048.06,70.1172,437.719,4105.9,43.3409,425.012,3883.9,40.3947,201.616,3898.04,625.62,192.825,3989.47,468.823,224.918,3981.72,273.705,231.274,4033.38,64.3151,275.049,4100.51,44.8401,266.279,3879.58,44.6617
7,0,467.118,3877.62,924.448,226.867,3873.91,921.472,386.951,4093.48,955.79,303.637,4091.11,958.253,507.154,3904.91,658.332,500.476,3996.02,473.994,492.527,3993.61,326.932,476.656,4048.07,70.1122,437.709,4105.88,43.3588,425.012,3883.9,40.3917,201.609,3898.04,625.631,192.814,3989.47,468.83,224.954,3981.68,273.73,231.248,4033.4,64.3329,275.041,4100.42,44.7958,266.275,3879.56,44.6616
8,0,467.132,3877.58,924.431,226.814,3873.89,921.492,386.98,4093.45,955.806,303.663,4091.11,958.267,507.188,3904.9,658.33,500.494,3996.03,474.01,492.545,3993.63,326.944,476.66,4048.08,70.1296,437.733,4105.88,43.3504,425.015,3883.91,40.3822,201.619,3898.05,625.639,192.823,3989.46,468.88,224.967,3981.67,273.751,231.249,4033.39,64.3385,275.036,4100.38,44.7943,266.263,3879.59,44.6627
9,0,467.155,3877.55,924.433,226.851,3873.85,921.482,387.007,4093.43,955.8,303.686,4091.09,958.268,507.176,3904.89,658.304,500.472,3996.04,473.992,492.542,3993.62,326.948,476.627,4048.11,70.1233,437.709,4105.89,43.3496,424.983,3883.92,40.3892,201.61,3898.04,625.653,192.826,3989.47,468.846,224.989,3981.65,273.78,231.23,4033.42,64.3493,275.04,4100.43,44.8174,266.27,3879.58,44.6745
