Trajectories
200
,,M4:LASI,,,M4:RASI,,,M4:LPSI,,,M4:RPSI,,,M4:LTHI,,,M4:LKNE,,,M4:LTIB,,,M4:LANK,,,M4:LHEE,,,M4:LTOE,,,M4:RTHI,,,M4:RKNE,,,M4:RTIB,,,M4:RANK,,,M4:RHEE,,,M4:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,364.442,3685.03,1039.09,189.123,3831.66,1041.43,458.528,3918.64,1065.4,395.329,3967.51,1071.98,474.261,3677.04,878.526,480.404,3792.75,543.709,456.334,3780.1,377.454,485.027,3840.03,85.3282,456.09,3914.76,48.8622,372.441,3692.69,46.271,138.125,3892.03,887.206,210.427,3923.66,558.566,197.064,3922.65,303.091,210.628,3950.29,90.5442,275.877,3971.75,47.0816,163.294,3751.35,48.4785
2,0,364.443,3685.08,1039.09,189.168,3831.69,1041.44,458.549,3918.69,1065.42,395.067,3967.22,1071.88,474.303,3677.06,878.54,480.424,3792.75,543.715,456.346,3780.12,377.469,485.038,3840.03,85.3338,456.009,3914.68,48.7851,372.447,3692.68,46.2722,138.141,3892.04,887.207,210.448,3923.69,558.567,197.073,3922.68,303.101,210.631,3950.29,90.5453,275.885,3971.75,47.0607,163.299,3751.34,48.4161
3,0,364.47,3685.13,1039.08,189.148,3831.74,1041.43,458.574,3918.7,1065.42,395.372,3967.61,1071.93,474.289,3677.1,878.533,480.448,3792.77,543.696,456.345,3780.13,377.472,485.015,3840.03,85.3168,456.101,3914.76,48.8588,372.43,3692.7,46.3371,138.147,3892.17,887.204,210.459,3923.73,558.574,197.094,3922.7,303.089,210.621,3950.3,90.563,275.875,3971.77,47.0867,163.286,3751.35,48.4684
4,0,364.456,3685.16,1039.1,189.153,3831.77,1041.44,458.606,3918.72,1065.43,395.126,3967.29,1071.88,474.312,3677.12,878.529,480.443,3792.78,543.694,456.348,3780.16,377.468,485.044,3840.03,85.3428,456.1,3914.75,48.8496,372.445,3692.7,46.2853,138.167,3892.21,887.218,210.482,3923.76,558.566,197.099,3922.73,303.092,210.633,3950.28,90.5509,275.875,3971.77,47.0744,163.286,3751.36,48.4543
5,0,364.436,3685.17,1039.11,189.18,3831.82,1041.42,458.625,3918.74,1065.43,395.145,3967.33,1071.89,474.315,3677.17,878.515,480.448,3792.8,543.692,456.355,3780.18,377.476,485.035,3840.05,85.325,456.084,3914.76,48.8619,372.432,3692.7,46.3324,138.177,3892.28,887.213,210.529,3923.8,558.558,197.131,3922.76,303.099,210.628,3950.31,90.548,275.883,3971.76,47.058,163.293,3751.36,48.474
6,0,364.47,3685.2,1039.08,189.175,3831.85,1041.42,458.646,3918.78,1065.43,395.187,3967.34,1071.9,474.322,3677.19,878.542,480.497,3792.85,543.691,456.37,3780.2,377.481,485.071,3840.03,85.3176,456.097,3914.74,48.8411,372.472,3692.71,46.2932,138.216,3892.29,887.187,210.539,3923.83,558.554,197.161,3922.77,303.097,210.632,3950.3,90.5442,275.876,3971.76,47.0703,163.293,3751.35,48.4475
7,0,364.486,3685.25,1039.09,189.24,3831.89,1041.41,458.679,3918.79,1065.42,395.208,3967.38,1071.89,474.339,3677.22,878.542,480.501,3792.87,543.692,456.393,3780.21,377.489,485.063,3840.03,85.3241,456.096,3914.74,48.8315,372.398,3692.7,46.2624,138.258,3892.31,887.198,210.568,3923.87,558.557,197.179,3922.8,303.094,210.629,3950.32,90.5518,275.874,3971.76,47.0678,163.296,3751.38,48.5006
8,0,364.507,3685.28,1039.07,189.235,3831.93,1041.41,458.691,3918.83,1065.44,395.237,3967.4,1071.89,474.327,3677.26,878.545,480.525,3792.89,543.706,456.398,3780.23,377.483,485.059,3840.03,85.314,456.097,3914.75,48.8461,372.432,3692.71,46.3168,138.282,3892.39,887.195,210.596,3923.9,558.552,197.175,3922.84,303.093,210.629,3950.32,90.5408,275.869,3971.76,47.0563,163.295,3751.35,48.4436
9,0,364.473,3685.31,1039.1,189.245,3831.99,1041.41,458.713,3918.86,1065.45,395.245,3967.45,1071.9,474.327,3677.29,878.548,480.523,3792.91,543.693,456.411,3780.25,377.484,485.048,3840.05,85.3043,456.102,3914.74,48.8197,372.439,3692.72,46.3194,138.3,3892.45,887.184,210.616,3923.96,558.552,197.195,3922.89,303.102,210.63,3950.34,90.5412,275.85,3971.76,47.0542,163.292,3751.36,48.4517
