Trajectories
200
,,M4:LASI,,,M4:RASI,,,M4:LPSI,,,M4:RPSI,,,M4:LTHI,,,M4:LKNE,,,M4:LTIB,,,M4:LANK,,,M4:LHEE,,,M4:LTOE,,,M4:RTHI,,,M4:RKNE,,,M4:RTIB,,,M4:RANK,,,M4:RHEE,,,M4:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,361.065,3634.45,1047.61,133.499,3650.91,1038.34,304.4,3878.11,1065.24,224.925,3880.63,1071.14,465.731,3681.55,889.988,426.258,3759.79,548.216,415.989,3731.39,382.086,428.583,3791.83,88.12,375.322,3849.67,51.3308,374.065,3613.27,47.5354,62.6833,3684.7,881.778,115.402,3778.52,559.326,106.728,3792.79,304.021,115.09,3828.06,92.3808,176.957,3860.67,48.2197,99.0937,3625.81,48.6028
2,0,361.056,3634.47,1047.59,133.491,3650.95,1038.35,304.37,3878.17,1065.26,224.908,3880.69,1071.16,465.742,3681.61,890,426.256,3759.81,548.201,415.999,3731.4,382.084,428.593,3791.84,88.1258,375.334,3849.67,51.3109,374.133,3613.3,47.5948,62.6691,3684.74,881.789,115.409,3778.53,559.328,106.711,3792.78,304.017,115.081,3828.05,92.3651,176.941,3860.69,48.2285,99.037,3625.82,48.6469
3,0,361.049,3634.52,1047.6,133.486,3650.97,1038.34,304.364,3878.2,1065.25,224.896,3880.72,1071.15,465.707,3681.64,889.99,426.267,3759.83,548.208,415.978,3731.43,382.074,428.593,3791.83,88.1184,375.323,3849.67,51.3176,374.104,3613.33,47.6137,61.9077,3686.23,881.613,115.374,3778.56,559.322,106.705,3792.79,304.004,115.07,3828.07,92.3792,176.957,3860.67,48.2232,99.0507,3625.83,48.6432
4,0,361.009,3634.54,1047.6,133.476,3651.01,1038.34,304.346,3878.24,1065.27,224.881,3880.76,1071.14,465.681,3681.69,889.995,426.258,3759.86,548.233,415.974,3731.43,382.086,428.574,3791.85,88.1146,375.341,3849.67,51.3084,374.066,3613.29,47.5307,61.8784,3686.28,881.618,115.371,3778.56,559.325,106.697,3792.79,304.004,115.079,3828.06,92.3765,176.953,3860.68,48.224,99.0396,3625.81,48.6136
5,0,361.02,3634.61,1047.61,133.466,3651.06,1038.33,304.315,3878.3,1065.24,224.857,3880.8,1071.13,465.671,3681.73,890.028,426.254,3759.89,548.241,415.971,3731.46,382.084,428.6,3791.81,88.1075,375.325,3849.68,51.3154,374.12,3613.31,47.6109,62.6139,3684.82,881.803,115.356,3778.57,559.325,106.687,3792.79,304.005,115.078,3828.06,92.3631,176.948,3860.68,48.2354,99.0132,3625.81,48.6268
6,0,361.008,3634.65,1047.6,133.446,3651.1,1038.35,304.298,3878.34,1065.25,224.844,3880.84,1071.14,465.685,3681.77,890.016,426.232,3759.89,548.245,415.966,3731.46,382.09,428.591,3791.82,88.1141,375.336,3849.67,51.3105,374.068,3613.29,47.5361,62.6007,3684.84,881.802,115.341,3778.59,559.331,106.688,3792.77,303.996,115.071,3828.06,92.3622,176.946,3860.68,48.2379,98.9835,3625.82,48.6413
7,0,360.967,3634.69,1047.64,133.455,3651.12,1038.36,304.275,3878.39,1065.24,224.823,3880.88,1071.14,465.671,3681.83,890.053,426.219,3759.9,548.245,415.958,3731.45,382.096,428.593,3791.83,88.1083,375.32,3849.68,51.3173,374.12,3613.31,47.5962,62.5782,3684.87,881.814,115.31,3778.6,559.338,106.753,3792.69,303.919,115.07,3828.05,92.3642,176.929,3860.69,48.2247,99.0035,3625.82,48.6235
8,0,360.977,3634.71,1047.62,133.444,3651.16,1038.35,304.262,3878.42,1065.25,224.806,3880.92,1071.13,465.669,3681.87,890.051,426.231,3759.91,548.247,415.943,3731.47,382.075,428.595,3791.82,88.1092,375.32,3849.67,51.3134,374.122,3613.31,47.5825,62.5594,3684.89,881.824,115.306,3778.61,559.333,106.661,3792.75,303.987,115.064,3828.06,92.3496,176.947,3860.69,48.2176,99.0527,3625.82,48.6212
9,0,360.984,3634.75,1047.63,133.406,3651.2,1038.37,304.24,3878.47,1065.25,224.789,3880.95,1071.12,465.665,3681.91,890.07,426.204,3759.91,548.242,415.932,3731.47,382.073,428.592,3791.83,88.1115,375.326,3849.66,51.3175,374.112,3613.31,47.5834,62.5451,3684.92,881.828,115.283,3778.61,559.33,106.637,3792.74,303.987,115.071,3828.06,92.3354,176.944,3860.68,48.2258,99.034,3625.81,48.6261
10,0,360.965,3634.81,1047.66,133.384,3651.23,1038.41,304.216,3878.52,1065.23,224.751,3881.01,1071.11,465.648,3681.93,890.065,426.229,3759.89,548.248,415.92,3731.48,382.089,428.587,3791.82,88.1218,375.325,3849.66,51.3142,374.124,3613.3,47.5606,62.5342,3684.92,881.834,115.266,3778.62,559.331,106.623,3792.72,303.985,115.062,3828.05,92.3378,176.937,3860.69,48.2164,99.0911,3625.8,48.6002
11,0,360.945,3634.86,1047.67,133.407,3651.27,1038.4,304.188,3878.58,1065.23,224.741,3881.03,1071.11,465.639,3682,890.075,426.235,3759.89,548.259,415.938,3731.46,382.102,428.576,3791.83,88.126,375.316,3849.67,51.3175,374.121,3613.3,47.5491,62.5108,3684.97,881.849,115.246,3778.62,559.329,106.606,3792.71,303.977,115.056,3828.05,92.3383,176.918,3860.69,48.2174,99.0598,3625.8,48.5957
12,0,360.938,3634.89,1047.68,133.385,3651.3,1038.41,304.167,3878.62,1065.22,224.718,3881.07,1071.11,465.632,3682.03,890.086,426.182,3759.88,548.219,415.92,3731.46,382.079,428.597,3791.82,88.1167,375.32,3849.66,51.3043,374.119,3613.31,47.574,62.4935,3684.99,881.852,115.23,3778.63,559.335,106.591,3792.69,303.975,115.056,3828.05,92.3311,176.931,3860.69,48.2292,99.0166,3625.82,48.6298
13,0,360.935,3634.94,1047.7,133.371,3651.34,1038.43,304.14,3878.68,1065.21,224.678,3881.13,1071.1,465.629,3682.07,890.087,426.203,3759.89,548.274,415.92,3731.43,382.089,428.587,3791.83,88.13,375.32,3849.66,51.314,374.071,3613.28,47.5028,62.4886,3684.99,881.857,115.213,3778.63,559.326,106.651,3792.61,303.918,115.07,3828.04,92.3178,176.94,3860.69,48.2176,98.9461,3625.81,48.5929
14,0,360.92,3634.97,1047.69,133.328,3651.39,1038.44,304.106,3878.74,1065.22,224.663,3881.16,1071.09,465.602,3682.1,890.089,426.183,3759.88,548.267,415.893,3731.46,382.068,428.563,3791.83,88.1154,375.31,3849.66,51.304,374.083,3613.28,47.501,62.4609,3685.02,881.859,115.184,3778.63,559.33,106.587,3792.65,303.97,115.056,3828.04,92.3232,176.927,3860.69,48.223,99.0486,3625.82,48.6224
15,0,360.925,3635.03,1047.72,133.307,3651.42,1038.45,304.08,3878.78,1065.19,224.621,3881.22,1071.09,465.599,3682.14,890.119,426.185,3759.85,548.253,415.89,3731.42,382.102,428.58,3791.82,88.1334,375.308,3849.65,51.3097,374.108,3613.29,47.5384,62.454,3685.05,881.871,115.165,3778.64,559.333,106.559,3792.66,303.977,115.051,3828.06,92.3262,176.926,3860.69,48.2309,99.0483,3625.81,48.6241
16,0,360.88,3635.06,1047.74,133.313,3651.45,1038.46,304.057,3878.84,1065.19,224.6,3881.25,1071.08,465.597,3682.19,890.146,426.186,3759.86,548.273,415.876,3731.41,382.086,428.578,3791.83,88.1248,375.309,3849.66,51.3095,374.075,3613.28,47.5012,62.4363,3685.07,881.878,115.157,3778.64,559.332,106.557,3792.65,303.962,115.051,3828.05,92.3249,176.925,3860.67,48.2278,98.9751,3625.84,48.6898
17,0,360.913,3635.13,1047.75,133.289,3651.47,1038.48,304.02,3878.89,1065.17,224.577,3881.29,1071.08,465.599,3682.22,890.148,426.155,3759.84,548.261,415.877,3731.38,382.09,428.549,3791.84,88.1237,375.31,3849.66,51.3107,374.073,3613.27,47.509,62.4378,3685.09,881.889,115.14,3778.63,559.333,106.553,3792.63,303.963,115.062,3828.05,92.3194,176.925,3860.69,48.2366,99.0272,3625.81,48.6198
18,0,360.89,3635.15,1047.76,133.27,3651.51,1038.47,303.989,3878.94,1065.17,224.537,3881.34,1071.06,465.56,3682.24,890.175,426.16,3759.83,548.272,415.862,3731.36,382.093,428.58,3791.82,88.126,375.296,3849.66,51.3117,374.101,3613.29,47.5357,62.4022,3685.13,881.908,115.125,3778.63,559.337,106.539,3792.63,303.955,115.063,3828.06,92.3277,176.922,3860.71,48.2328,99.0452,3625.81,48.629
19,0,360.867,3635.2,1047.78,133.28,3651.55,1038.49,303.962,3878.99,1065.16,224.512,3881.38,1071.05,465.553,3682.26,890.168,426.147,3759.8,548.273,415.84,3731.33,382.093,428.565,3791.82,88.1266,375.295,3849.65,51.319,374.095,3613.29,47.5505,62.3846,3685.14,881.906,115.111,3778.63,559.34,106.527,3792.63,303.961,115.053,3828.06,92.3271,176.923,3860.68,48.2314,99.0276,3625.81,48.6109
20,0,360.853,3635.24,1047.79,133.224,3651.58,1038.51,303.933,3879.03,1065.15,224.487,3881.42,1071.04,465.542,3682.29,890.181,426.156,3759.77,548.269,415.847,3731.31,382.091,428.545,3791.82,88.1286,375.305,3849.65,51.3056,374.094,3613.29,47.5392,62.3798,3685.17,881.915,115.098,3778.62,559.337,106.515,3792.62,303.962,115.052,3828.05,92.3212,176.929,3860.7,48.2175,98.9894,3625.83,48.6573
