Trajectories
200
,,M4:LASI,,,M4:RASI,,,M4:LPSI,,,M4:RPSI,,,M4:LTHI,,,M4:LKNE,,,M4:LTIB,,,M4:LANK,,,M4:LHEE,,,M4:LTOE,,,M4:RTHI,,,M4:RKNE,,,M4:RTIB,,,M4:RANK,,,M4:RHEE,,,M4:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-518.386,3965.15,1060.06,-744.696,3987.37,1055.95,-567.795,4212.05,1081.08,-649.15,4217.37,1085.92,-419.726,4015.98,901.427,-477.57,4106.23,560.231,-495.328,4081.02,395.354,-502.669,4152.23,103.904,-561.273,4206.39,69.6625,-538.165,3969.98,62.8563,-814.476,4020.93,898.494,-759.936,4108.4,569.147,-762.88,4117.42,317.879,-756.773,4160.69,108.199,-706.423,4214.34,67.2837,-703.73,3966.71,62.6572
2,0,-518.411,3965.18,1060.06,-744.762,3987.41,1055.92,-567.82,4212.07,1081.08,-649.596,4217.5,1085.65,-419.765,4016.06,901.435,-477.581,4106.25,560.238,-495.329,4081,395.35,-502.667,4152.22,103.898,-561.515,4206.33,69.4881,-538.159,3969.99,62.8552,-814.513,4020.95,898.487,-759.935,4108.41,569.137,-762.876,4117.42,317.879,-756.759,4160.73,108.16,-706.395,4214.36,67.3378,-703.75,3966.7,62.6533
3,0,-518.47,3965.18,1060.03,-745.529,3991.05,1054.76,-567.845,4212.09,1081.08,-649.103,4217.4,1085.95,-419.767,4015.96,901.363,-477.595,4106.28,560.24,-495.363,4081.01,395.351,-502.583,4152.18,103.864,-561.502,4206.35,69.5482,-538.169,3969.98,62.8411,-814.533,4020.97,898.481,-759.943,4108.42,569.139,-762.875,4117.42,317.871,-756.549,4160.94,108.051,-706.419,4214.34,67.3053,-703.743,3966.69,62.6346
4,0,-518.463,3965.23,1060.05,-745.534,3991.05,1054.77,-567.869,4212.13,1081.07,-649.217,4217.44,1085.88,-419.714,4015.9,901.518,-477.607,4106.29,560.248,-495.375,4081.02,395.356,-502.593,4152.21,103.888,-561.572,4206.33,69.4505,-538.189,3969.99,62.8677,-814.534,4020.98,898.479,-759.961,4108.44,569.14,-762.894,4117.43,317.88,-757.42,4160.67,108.829,-706.369,4214.35,67.3675,-703.734,3966.7,62.6438
5,0,-518.422,3965.27,1060.13,-745.589,3991.08,1054.77,-567.898,4212.15,1081.06,-649.272,4217.45,1085.86,-419.779,4015.98,901.432,-477.625,4106.29,560.253,-495.375,4081.04,395.354,-502.595,4152.18,103.874,-561.422,4206.35,69.5709,-538.186,3969.98,62.8592,-814.569,4021,898.471,-759.945,4108.45,569.126,-762.893,4117.43,317.862,-756.764,4160.75,108.165,-708.406,4214.02,66.1414,-703.732,3966.7,62.6362
6,0,-518.48,3965.29,1060.07,-745.573,3991.1,1054.75,-567.926,4212.19,1081.06,-649.273,4217.47,1085.88,-419.8,4016.04,901.5,-477.649,4106.32,560.27,-495.395,4081.06,395.357,-502.59,4152.19,103.864,-561.61,4206.31,69.4294,-538.195,3969.96,62.8639,-814.563,4020.99,898.477,-759.971,4108.46,569.116,-762.907,4117.44,317.861,-757.688,4159.84,108.437,-706.669,4214.32,67.1592,-703.744,3966.68,62.6119
7,0,-518.5,3965.32,1060.06,-745.627,3991.14,1054.74,-567.953,4212.2,1081.04,-647.675,4217.27,1086.31,-419.852,4016.19,901.391,-477.656,4106.31,560.258,-495.432,4081.08,395.359,-502.659,4152.24,103.91,-561.265,4206.41,69.6669,-538.174,3969.99,62.8338,-814.601,4021.01,898.472,-759.986,4108.48,569.112,-762.933,4117.45,317.859,-757.12,4160.94,108.594,-706.777,4214.32,67.1588,-703.735,3966.7,62.6445
8,0,-518.497,3965.36,1060.09,-745.607,3991.14,1054.74,-567.983,4212.23,1081.03,-647.704,4217.25,1086.29,-419.846,4016.17,901.52,-477.671,4106.33,560.276,-495.452,4081.09,395.357,-502.592,4152.21,103.874,-561.439,4206.37,69.5715,-538.164,3970.01,62.8522,-814.633,4021.02,898.462,-760.02,4108.49,569.12,-762.932,4117.45,317.845,-756.777,4160.7,108.173,-706.904,4214.27,67.0669,-703.732,3966.71,62.6375
9,0,-518.448,3965.41,1060.16,-745.637,3991.17,1054.73,-568.008,4212.25,1081.02,-647.737,4217.25,1086.3,-419.792,4016.02,901.474,-477.676,4106.33,560.271,-495.423,4081.1,395.363,-502.599,4152.21,103.875,-561.274,4206.38,69.6955,-538.183,3969.99,62.8557,-814.655,4021.03,898.461,-760.045,4108.51,569.125,-762.911,4117.43,317.837,-756.601,4160.9,108.099,-707.066,4214.26,66.9479,-703.733,3966.72,62.6426
