Trajectories
200
,,F1:LASI,,,F1:RASI,,,F1:LPSI,,,F1:RPSI,,,F1:LTHI,,,F1:LKNE,,,F1:LTIB,,,F1:LANK,,,F1:LHEE,,,F1:LTOE,,,F1:RTHI,,,F1:RKNE,,,F1:RTIB,,,F1:RANK,,,F1:RHEE,,,F1:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-410.002,4177.76,991.943,-655.861,4176.55,990.12,-503.543,4400.42,1026.99,-585.196,4398.34,1028.2,-372.875,4286.14,655.182,-400.365,4270.93,521.852,-386.316,4365.37,318.012,-423.885,4340.18,96.2302,,,,-475.31,4168.58,61.5338,-734.044,4270.47,775.568,-689.723,4302.92,521.388,-694.764,4359.86,392.558,-668.391,4336.85,99.722,-602.995,4366.78,80.9221,-659.969,4164.55,64.503
2,0,-410.023,4177.77,991.944,-656.3,4176.85,989.887,-503.56,4400.45,1026.99,-585.207,4398.37,1028.2,-372.887,4286.15,655.189,-400.358,4270.93,521.826,-389.188,4365.84,317.846,-423.884,4340.21,96.2163,,,,-475.358,4168.6,61.5272,-734.052,4270.48,775.571,-689.739,4302.92,521.392,-694.773,4359.86,392.548,-668.384,4336.92,99.6872,-603.03,4366.85,80.8919,-659.945,4164.54,64.5023
3,0,-410.026,4177.79,991.962,-655.87,4176.57,990.118,-503.573,4400.46,1026.99,-585.222,4398.39,1028.2,-372.902,4286.14,655.182,-400.329,4270.88,521.811,-386.453,4365.42,318.065,-423.915,4340.22,96.2039,,,,-475.322,4168.59,61.5427,-734.131,4270.52,775.569,-690.875,4303.17,521.584,-694.775,4359.88,392.585,-668.466,4336.81,99.833,-602.902,4366.72,80.9472,-660.097,4164.49,64.4819
4,0,-410.071,4177.81,991.958,-656.268,4176.88,989.872,-503.587,4400.48,1026.99,-585.235,4398.41,1028.2,-372.913,4286.15,655.184,-400.32,4270.88,521.835,-389.096,4365.87,317.869,-423.922,4340.22,96.2073,,,,-475.317,4168.58,61.5291,-734.123,4270.51,775.556,-689.767,4302.94,521.39,-694.78,4359.88,392.562,-668.45,4336.81,99.7549,-602.903,4366.63,80.9113,-659.909,4164.57,64.5842
5,0,-410.085,4177.8,991.965,-655.856,4176.6,990.115,-503.6,4400.5,1026.99,-585.25,4398.42,1028.2,-372.94,4286.14,655.187,-400.202,4270.83,521.844,-389.089,4365.86,317.85,-423.89,4340.19,96.2281,,,,-475.348,4168.6,61.5392,-734.383,4270.6,775.572,-689.777,4302.94,521.396,-694.792,4359.89,392.576,-668.421,4336.94,99.7572,-602.977,4366.77,80.8525,-659.937,4164.58,64.5686
6,0,-410.097,4177.81,991.969,-655.912,4176.62,990.116,-503.617,4400.52,1027,-585.269,4398.43,1028.2,-372.954,4286.14,655.194,-400.448,4270.93,521.857,-387.109,4365.54,317.926,-423.923,4340.21,96.2258,,,,-475.307,4168.61,61.5738,-734.144,4270.54,775.555,-689.742,4302.94,521.374,-694.803,4359.89,392.569,-668.33,4337.03,99.9133,-603.007,4366.82,80.9007,-659.954,4164.58,64.5788
7,0,-410.111,4177.82,991.984,-656.369,4176.94,989.898,-503.625,4400.54,1026.99,-585.281,4398.44,1028.2,-372.978,4286.13,655.192,-400.438,4270.92,521.863,-389.098,4365.84,317.859,-423.859,4340.19,96.2312,,,,-475.354,4168.61,61.5369,-734.177,4270.57,775.554,-689.727,4302.95,521.375,-694.805,4359.9,392.562,-668.446,4336.8,99.7731,-603.019,4366.84,80.8475,-659.966,4164.57,64.5873
8,0,-410.151,4177.84,991.98,-656.326,4176.92,989.911,-503.637,4400.55,1026.99,-585.292,4398.46,1028.2,-372.999,4286.13,655.187,-400.401,4270.87,521.813,-386.81,4365.46,318.081,-423.843,4340.18,96.2254,,,,-475.33,4168.59,61.5438,-734.461,4270.67,775.575,-689.786,4302.97,521.392,-694.806,4359.91,392.572,-668.466,4336.81,99.8745,-603.021,4366.85,80.8874,-660.005,4164.59,64.5844
9,0,-410.132,4177.84,991.978,-656.339,4176.92,989.899,-503.642,4400.57,1026.99,-585.302,4398.47,1028.2,-373.009,4286.12,655.185,-400.48,4270.92,521.846,-386.891,4365.48,318.068,-423.886,4340.19,96.2202,,,,-475.323,4168.59,61.5499,-738.807,4271.95,775.704,-689.785,4302.98,521.374,-694.805,4359.92,392.554,-668.379,4336.89,99.8796,-602.972,4366.7,80.9393,-660.045,4164.58,64.5115
