Trajectories
200
,,F1:LASI,,,F1:RASI,,,F1:LPSI,,,F1:RPSI,,,F1:LTHI,,,F1:LKNE,,,F1:LTIB,,,F1:LANK,,,F1:LHEE,,,F1:LTOE,,,F1:RTHI,,,F1:RKNE,,,F1:RTIB,,,F1:RANK,,,F1:RHEE,,,F1:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-419.737,4176.9,991.622,-665.955,4175.38,988.73,-513.629,4398.05,1030.76,-596.156,4395.99,1031.12,-383.162,4288.81,655.582,-411.462,4277.03,521.143,-395.95,4368.8,317.683,-435.781,4339.48,96.1765,-482.013,4385.24,76.1877,-498.486,4170.22,61.767,-743.005,4268.33,777.968,-695.217,4305.7,521.144,-699.929,4362.31,392.069,-667.272,4337.83,98.2597,-608.112,4379.87,75.594,-640.564,4166.37,65.7482
2,0,-419.802,4176.89,991.644,-665.92,4175.37,988.757,-513.634,4398.05,1030.76,-596.163,4395.98,1031.11,-383.166,4288.8,655.585,-411.438,4276.97,521.062,-395.867,4368.78,317.728,-435.792,4339.48,96.1658,-481.984,4385.24,76.2099,-498.442,4170.22,61.8166,,,,-695.195,4305.68,521.145,-699.937,4362.3,392.073,-667.224,4337.8,98.2821,-608.103,4379.88,75.6099,-640.563,4166.37,65.7488
3,0,-419.747,4176.91,991.639,-667.544,4176.96,988.81,-513.64,4398.06,1030.76,-596.172,4395.99,1031.11,-383.159,4288.79,655.578,-411.51,4276.99,521.114,-397.99,4369.13,317.557,-435.835,4339.5,96.1417,-481.989,4385.21,76.2258,-498.417,4170.21,61.8118,-743.058,4268.32,777.973,-695.187,4305.67,521.144,-699.924,4362.28,392.069,-667.245,4337.83,98.2299,-608.076,4379.89,75.6332,-640.386,4166.33,65.7913
4,0,-419.757,4176.92,991.661,-665.896,4175.36,988.761,-513.65,4398.06,1030.75,-596.18,4395.99,1031.11,-383.162,4288.78,655.578,-411.542,4277,521.138,-397.983,4369.12,317.567,-435.778,4339.47,96.1747,-481.96,4385.22,76.1949,-498.436,4170.22,61.8072,-743.013,4268.3,777.963,-695.186,4305.65,521.139,-699.93,4362.28,392.071,-667.281,4337.79,98.3366,-608.11,4379.88,75.6255,-640.547,4166.37,65.7799
5,0,-419.791,4176.91,991.661,-665.915,4175.37,988.764,-513.656,4398.06,1030.75,-596.191,4395.99,1031.1,-383.17,4288.77,655.578,-411.629,4277.02,521.125,-395.882,4368.74,317.714,-435.81,4339.48,96.1661,-481.999,4385.21,76.203,-498.431,4170.23,61.81,-743.04,4268.29,777.972,-695.165,4305.64,521.128,-699.946,4362.27,392.074,-667.271,4337.77,98.2574,-609.978,4379.76,74.6848,-640.656,4166.36,65.6959
6,0,-419.759,4176.91,991.647,-665.926,4175.39,988.767,-513.665,4398.06,1030.75,-596.196,4395.99,1031.1,-383.172,4288.76,655.583,-411.54,4276.96,521.091,-395.957,4368.74,317.691,-435.775,4339.47,96.1651,-481.99,4385.18,76.2342,-498.47,4170.24,61.8067,-743.031,4268.28,777.973,-695.117,4305.6,521.066,-699.958,4362.27,392.084,-667.274,4337.88,98.2628,-609.944,4379.76,74.6811,-640.534,4166.35,65.744
7,0,-419.751,4176.93,991.661,-665.984,4175.42,988.767,-513.67,4398.07,1030.75,-596.204,4395.99,1031.1,-383.172,4288.74,655.58,-411.498,4276.98,521.14,-395.887,4368.71,317.713,-435.803,4339.48,96.1651,,,,-498.47,4170.24,61.8234,-743.049,4268.27,777.973,-695.099,4305.58,521.054,-699.962,4362.25,392.075,-667.295,4337.69,98.2875,-610.02,4379.75,74.6453,-640.627,4166.35,65.672
8,0,-419.788,4176.93,991.662,-665.897,4175.35,988.773,-513.677,4398.07,1030.75,-596.21,4395.99,1031.1,-383.178,4288.73,655.576,-411.603,4277.02,521.173,-395.933,4368.73,317.704,-435.824,4339.47,96.184,-482.025,4385.09,76.3035,-498.42,4170.22,61.7945,-742.964,4268.24,777.975,-695.144,4305.59,521.085,-699.96,4362.25,392.08,-667.314,4337.72,98.3099,-608.439,4379.85,75.4399,-640.597,4166.35,65.7023
9,0,-419.759,4176.94,991.654,-667.417,4176.84,988.806,-513.684,4398.08,1030.74,-596.214,4395.99,1031.1,-383.18,4288.73,655.578,-411.556,4276.98,521.133,-395.922,4368.71,317.716,-435.84,4339.47,96.1782,-481.993,4385.25,76.2013,-498.456,4170.23,61.8238,-743.202,4268.29,777.974,-695.22,4305.6,521.141,-699.948,4362.25,392.099,-667.302,4337.88,98.2058,-609.963,4379.75,74.6847,-640.628,4166.33,65.6571
