Trajectories
200
,,F2:LASI,,,F2:RASI,,,F2:LPSI,,,F2:RPSI,,,F2:LTHI,,,F2:LKNE,,,F2:LTIB,,,F2:LANK,,,F2:LHEE,,,F2:LTOE,,,F2:RTHI,,,F2:RKNE,,,F2:RTIB,,,F2:RANK,,,F2:RHEE,,,F2:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,369.337,3987.91,957.841,125.41,3999.07,968.468,,,,218.364,4193.24,1014.22,,,,388.963,4097.23,491.503,388.067,4128.92,398.371,332.756,4136.85,78.0473,289.891,4189.11,44.0707,260.405,3981.55,42.907,99.5422,4013.01,658.442,100.396,4117.86,470.751,122.445,4090.95,314.537,137.536,4140.15,79.124,180.712,4197.19,38.1947,197.515,3983.2,44.0143
2,0,369.262,3987.9,957.87,125.632,3999.08,968.554,,,,218.397,4193.21,1014.25,,,,388.987,4097.21,491.547,388.242,4128.84,398.413,332.775,4136.86,78.0461,289.904,4189.1,44.058,260.174,3981.62,42.9857,99.4505,4013.06,658.438,100.449,4117.88,470.672,122.436,4090.91,314.606,137.526,4140.16,79.1429,180.713,4197.18,38.1893,197.54,3983.21,44.0189
3,0,369.295,3987.84,957.874,125.507,3999.11,968.428,,,,218.431,4193.18,1014.27,,,,389.012,4097.15,491.467,388.36,4128.73,398.535,332.791,4136.87,78.0337,289.911,4189.12,44.0499,260.409,3981.57,42.917,99.38,4013.11,658.428,99.4293,4115.75,471.919,122.447,4090.97,314.567,137.532,4140.15,79.1333,180.696,4197.19,38.1956,197.515,3983.21,44.0061
4,0,369.662,3988.82,957.268,125.384,3999.06,968.523,,,,218.452,4193.16,1014.29,,,,389.073,4097.12,491.503,388.297,4128.76,398.441,332.786,4136.84,78.0228,289.92,4189.11,44.0419,260.389,3981.59,42.9129,99.4708,4013.1,658.427,99.4492,4115.8,471.883,122.404,4090.91,314.617,137.509,4140.16,79.1368,180.705,4197.18,38.1978,197.514,3983.21,44.0051
5,0,369.29,3987.84,957.864,125.445,3999.05,968.49,,,,218.475,4193.15,1014.33,,,,389.109,4097.05,491.498,393.275,4124.34,394.866,332.795,4136.84,78.0257,289.934,4189.12,44.0366,260.169,3981.64,43.0183,99.4688,4013.13,658.428,99.4915,4115.84,471.882,122.444,4091.01,314.634,137.532,4140.14,79.1366,180.695,4197.19,38.1929,197.485,3983.21,44.0117
6,0,369.323,3987.81,957.847,125.517,3999.12,968.509,,,,218.515,4193.09,1014.35,,,,389.165,4097.02,491.51,388.349,4128.67,398.411,332.812,4136.87,78.0444,289.94,4189.12,44.024,260.368,3981.6,42.9593,99.5082,4013.15,658.431,99.5019,4115.89,471.879,122.425,4090.99,314.677,137.505,4140.14,79.1418,180.701,4197.19,38.1994,197.487,3983.21,44.0296
7,0,369.852,3988.69,957.024,126.271,3999.41,968.025,,,,218.517,4193.1,1014.37,,,,389.173,4096.95,491.491,388.355,4128.63,398.3,332.807,4136.87,78.0678,289.958,4189.13,44.0156,260.361,3981.61,42.9793,99.4539,4013.2,658.43,99.4603,4115.92,471.934,122.43,4091,314.689,137.469,4140.16,79.1543,180.704,4197.18,38.1996,197.497,3983.21,44.0379
8,0,369.357,3987.87,957.814,126.262,3999.43,968.06,,,,218.541,4193.06,1014.4,,,,389.199,4096.92,491.49,388.433,4128.59,398.366,332.815,4136.86,78.0638,289.962,4189.14,43.9998,260.341,3981.62,42.9855,99.4111,4013.24,658.426,99.4865,4115.94,471.917,122.427,4090.95,314.741,137.479,4140.16,79.1563,180.71,4197.18,38.2021,197.486,3983.2,44.0465
9,0,369.278,3987.81,957.86,125.527,3999.15,968.534,,,,218.586,4192.99,1014.41,,,,389.257,4096.84,491.455,388.479,4128.54,398.353,332.816,4136.84,78.0586,289.989,4189.14,43.9904,260.331,3981.63,43.0162,99.5109,4013.24,658.416,99.4209,4115.98,471.95,122.411,4090.95,314.813,137.488,4140.15,79.1479,180.721,4197.17,38.1989,197.47,3983.22,44.0444
