Trajectories
200
,,F6:LASI,,,F6:RASI,,,F6:LPSI,,,F6:RPSI,,,F6:LTHI,,,F6:LKNE,,,F6:LTIB,,,F6:LANK,,,F6:LHEE,,,F6:LTOE,,,F6:RTHI,,,F6:RKNE,,,F6:RTIB,,,F6:RANK,,,F6:RHEE,,,F6:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-417.774,3837.95,943.594,-657.199,3850.82,943.317,-483.342,4059.13,977.504,-568.091,4061.61,978.349,-382.129,3868.27,675.37,-390.966,3961.68,491.451,-405.034,3961.19,343.922,-435.7,4013,87.756,-477.663,4068.24,62.793,-481.385,3846.46,61.1121,-681.322,3871.98,647.301,-684.221,3961.39,489.259,-652.868,3950.69,293.919,-645.256,3999.03,84.6956,-596.858,4064.81,64.693,-615.377,3845.05,64.5135
2,0,-417.962,3837.95,943.512,-657.344,3850.83,943.438,-483.385,4059.09,977.495,-568.148,4061.62,978.336,-382.161,3868.28,675.385,-390.973,3961.68,491.469,-405.053,3961.19,343.931,-435.702,4013,87.7525,-477.675,4068.23,62.8081,-481.396,3846.44,61.107,-680.829,3873.31,646.123,-684.182,3961.36,489.226,-652.88,3950.72,293.906,-643.998,4000.3,83.491,-596.908,4064.81,64.6456,-615.325,3845.07,64.4873
3,0,-417.993,3837.95,943.519,-657.372,3850.79,943.475,-483.396,4059.11,977.524,-566.958,4061.45,978.524,-382.173,3868.27,675.361,-390.997,3961.67,491.461,-405.072,3961.19,343.931,-435.71,4013.02,87.7666,-477.668,4068.25,62.811,-481.417,3846.46,61.092,-681.31,3872.21,647.284,-684.268,3961.42,489.26,-653.013,3950.36,294.418,-645.258,3999.05,84.7147,-596.879,4064.83,64.6562,-615.341,3845.06,64.5028
4,0,-418.021,3837.94,943.508,-657.389,3850.77,943.425,-483.424,4059.08,977.527,-568.168,4061.59,978.366,-382.208,3868.27,675.4,-391.005,3961.68,491.469,-405.037,3961.21,343.943,-435.701,4013.02,87.7638,-477.71,4068.24,62.7858,-481.414,3846.45,61.1115,-681.216,3872.13,647.252,-683.941,3961.27,489.119,-653.016,3950.35,294.409,-644.017,4000.3,83.5264,-596.946,4064.8,64.669,-615.343,3845.07,64.518
5,0,-417.901,3837.93,943.564,-657.434,3850.78,943.393,-483.45,4059.1,977.532,-568.205,4061.59,978.37,-382.203,3868.25,675.398,-391.024,3961.68,491.491,-405.064,3961.21,343.958,-435.713,4013.03,87.7946,-477.696,4068.23,62.8057,-481.429,3846.45,61.1064,-680.841,3873.27,646.141,-683.954,3961.27,489.124,-653.039,3950.36,294.41,-643.746,4000.82,83.0154,-596.919,4064.82,64.6617,-615.36,3845.07,64.484
6,0,-418.094,3837.91,943.526,-657.46,3850.75,943.451,-483.462,4059.12,977.562,-567.079,4061.43,978.545,-382.23,3868.25,675.38,-391.051,3961.68,491.49,-405.056,3961.2,343.99,-435.749,4013.11,87.9487,-477.7,4068.27,62.8237,-481.416,3846.42,61.0939,-681.389,3872.22,647.279,-684.29,3961.42,489.268,-653.051,3950.37,294.413,-643.672,4000.83,82.9581,-596.958,4064.81,64.6503,-615.382,3845.08,64.5032
7,0,-418.097,3837.9,943.528,-657.517,3850.72,943.443,-483.49,4059.07,977.555,-568.268,4061.56,978.392,-382.237,3868.28,675.394,-391.063,3961.67,491.503,-405.09,3961.23,343.995,-435.728,4013.04,87.8164,-477.694,4068.28,62.7758,-481.46,3846.45,61.104,-680.884,3873.26,646.206,-684.29,3961.42,489.282,-653.026,3950.36,294.411,-643.75,4000.81,83.0349,-596.941,4064.82,64.6676,-615.359,3845.06,64.5258
8,0,-418.145,3837.9,943.544,-657.545,3850.71,943.44,-483.506,4059.09,977.55,-567.18,4061.38,978.543,-382.245,3868.27,675.423,-391.078,3961.68,491.495,-405.106,3961.2,344.014,-435.739,4013.05,87.8375,-477.694,4068.26,62.7989,-481.454,3846.42,61.1219,-680.934,3873.27,646.227,-683.992,3961.28,489.145,-653.031,3950.35,294.424,-643.703,4000.83,82.9697,-596.926,4064.84,64.662,-615.385,3845.07,64.4848
9,0,-418.204,3837.9,943.563,-657.58,3850.7,943.438,-483.532,4059.05,977.556,-568.309,4061.54,978.402,-382.28,3868.25,675.434,-391.111,3961.7,491.521,-405.144,3961.22,344.006,-435.747,4013.06,87.8468,-477.7,4068.25,62.8109,-481.505,3846.44,61.1105,-681.04,3873.36,646.235,-684.003,3961.28,489.149,-653.025,3950.34,294.433,-643.699,4000.84,82.9781,-596.943,4064.82,64.6762,-615.419,3845.07,64.4758
