Trajectories
200
,,M1:LASI,,,M1:RASI,,,M1:LPSI,,,M1:RPSI,,,M1:LTHI,,,M1:LKNE,,,M1:LTIB,,,M1:LANK,,,M1:LHEE,,,M1:LTOE,,,M1:RTHI,,,M1:RKNE,,,M1:RTIB,,,M1:RANK,,,M1:RHEE,,,M1:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-433.604,3981.83,1027.07,-697.239,4007.7,1041.94,-489.289,4179.53,1076.83,-597.499,4187.73,1084.24,-383.525,4009.11,710.056,-379.586,4092.45,519.832,-372.362,4098.06,413.771,-418.019,4166.87,98.0537,-465.584,4214.67,71.0691,-471.391,3985.63,59.8119,-752.509,4112.06,726.375,-727.215,4091.58,552.396,-737.595,4179.23,392.122,-690.341,4174.08,103.92,-633.344,4225.4,80.4618,-650.37,3997.28,63.598
2,0,-433.628,3981.89,1027.07,-697.207,4007.7,1041.95,-489.266,4179.53,1076.83,-597.479,4187.73,1084.23,-383.497,4009.12,710.058,-379.569,4092.47,519.841,-372.143,4097.63,413.621,-418.059,4166.88,98.021,-465.583,4214.66,71.0727,-471.377,3985.63,59.8006,-752.487,4112.05,726.377,-727.202,4091.56,552.4,-737.638,4179.26,392.188,-690.663,4173.73,104,-633.228,4225.41,80.4987,-650.349,3997.28,63.5996
3,0,-433.583,3981.68,1027.13,-697.165,4007.7,1041.94,-489.247,4179.54,1076.83,-597.457,4187.73,1084.23,-383.487,4009.14,710.063,-379.541,4092.49,519.846,-372.107,4097.59,413.601,-418.01,4166.87,98.0916,-466.126,4214.84,71.0961,-471.373,3985.64,59.8012,-752.464,4112.04,726.378,-727.206,4091.56,552.405,-737.614,4179.25,392.195,-690.541,4173.64,103.543,-633.252,4225.4,80.4971,-650.332,3997.26,63.582
4,0,-433.662,3981.31,1027.31,-697.133,4007.69,1041.96,-489.232,4179.55,1076.83,-597.438,4187.74,1084.23,-383.447,4009.15,710.061,-379.541,4092.51,519.854,-372.339,4098.09,413.759,-417.975,4166.87,98.0612,-465.607,4214.67,71.0691,-471.4,3985.63,59.8101,-752.446,4112.04,726.384,-727.181,4091.55,552.409,-737.599,4179.25,392.203,-690.16,4174.1,103.514,-633.29,4225.4,80.4561,-650.368,3997.28,63.5964
5,0,-433.791,3980.93,1027.57,-697.107,4007.66,1041.95,-489.21,4179.57,1076.84,-597.411,4187.73,1084.23,-383.429,4009.17,710.051,-379.51,4092.54,519.867,-372.308,4098.1,413.758,-418.058,4166.89,97.982,-466.122,4214.81,71.081,-471.394,3985.62,59.8054,-752.413,4112.02,726.388,-727.156,4091.54,552.406,-737.597,4179.25,392.211,-690.736,4173.63,103.989,-633.319,4225.4,80.4661,-650.352,3997.27,63.5978
6,0,-433.213,3982.26,1026.98,-697.069,4007.68,1041.96,-489.19,4179.59,1076.83,-597.39,4187.75,1084.23,-383.415,4009.21,710.072,-379.504,4092.56,519.865,-372.302,4098.14,413.765,-418.108,4166.91,97.969,-466.053,4214.79,71.095,-471.352,3985.61,59.804,-752.393,4112,726.386,-727.133,4091.52,552.415,-737.592,4179.25,392.224,-691.086,4173.15,103.895,-633.358,4225.39,80.4405,-650.362,3997.28,63.5925
7,0,-433.161,3982.27,1027.03,-697.025,4007.67,1041.96,-489.173,4179.62,1076.83,-597.374,4187.76,1084.23,-383.333,4009.23,710.073,-379.477,4092.59,519.864,-372.293,4098.16,413.765,-418.058,4166.89,98.0131,-465.879,4214.74,71.0956,-471.371,3985.62,59.8004,-752.371,4112,726.392,-727.022,4091.46,552.377,-737.578,4179.23,392.237,-690.901,4173.33,103.809,-633.393,4225.4,80.437,-650.345,3997.23,63.5524
8,0,-433.134,3982.33,1027.02,-697.005,4007.64,1041.97,-489.158,4179.64,1076.84,-597.35,4187.77,1084.23,-383.324,4009.28,710.076,-379.456,4092.62,519.87,-372.285,4098.19,413.772,-418.024,4166.89,98.0022,-465.552,4214.64,71.1349,-471.359,3985.61,59.7909,-752.338,4111.98,726.392,-727.081,4091.48,552.41,-737.527,4179.19,392.198,-690.597,4173.52,103.665,-633.405,4225.4,80.4169,-650.364,3997.25,63.5522
9,0,-433.007,3982.36,1027.03,-696.967,4007.65,1041.97,-489.142,4179.67,1076.84,-597.342,4187.79,1084.22,-383.319,4009.31,710.061,-379.441,4092.65,519.869,-372.261,4098.22,413.784,-418.049,4166.9,97.9975,-465.531,4214.63,71.1232,-471.346,3985.61,59.7833,-752.313,4111.97,726.391,-727.061,4091.46,552.401,-737.503,4179.17,392.203,-690.373,4174.04,103.822,-633.444,4225.39,80.393,-650.367,3997.24,63.5565
