Trajectories
200
,,M5:LASI,,,M5:RASI,,,M5:LPSI,,,M5:RPSI,,,M5:LTHI,,,M5:LKNE,,,M5:LTIB,,,M5:LANK,,,M5:LHEE,,,M5:LTOE,,,M5:RTHI,,,M5:RKNE,,,M5:RTIB,,,M5:RANK,,,M5:RHEE,,,M5:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,468.257,3879.01,1072.08,217.154,3881.28,1070.4,387.258,4072.45,1118.1,300.701,4072.72,1121.76,515.609,3867.17,772.681,517.33,3942.8,557.153,506.207,3919.45,403.283,487.265,4008.39,79.2537,446.962,4071.03,54.958,436.024,3823.21,43.0576,163.369,3889.52,759.594,171.528,3957.64,554.196,198.343,3927.73,360.586,199.638,4010.88,81.3821,242.57,4072.66,61.5994,248.095,3826.82,48.4799
2,0,468.227,3879.04,1072.07,217.148,3881.3,1070.41,387.246,4072.49,1118.1,300.691,4072.74,1121.76,515.627,3867.19,772.68,517.324,3942.83,557.138,506.198,3919.45,403.294,487.264,4008.37,79.2527,446.974,4071.03,54.9567,436.065,3823.23,43.1054,163.34,3889.54,759.591,171.532,3957.6,554.187,198.322,3927.74,360.572,199.642,4010.83,81.3753,242.436,4072.64,61.5245,248.096,3826.87,48.4799
3,0,468.221,3879.1,1072.08,217.155,3881.35,1070.42,387.235,4072.52,1118.08,300.69,4072.77,1121.76,515.635,3867.2,772.684,517.33,3942.84,557.138,506.196,3919.48,403.306,487.264,4008.38,79.2481,446.958,4071.04,54.9483,436.025,3823.2,43.0486,163.355,3889.53,759.603,171.51,3957.63,554.177,198.283,3927.78,360.566,199.637,4010.87,81.3695,242.446,4072.65,61.5385,248.105,3826.85,48.4795
4,0,468.215,3879.11,1072.07,217.153,3881.36,1070.41,387.214,4072.57,1118.08,300.664,4072.81,1121.75,515.649,3867.24,772.713,517.34,3942.85,557.162,506.21,3919.48,403.291,487.282,4008.37,79.249,446.953,4071.02,54.9536,436.04,3823.2,43.053,163.346,3889.52,759.622,171.5,3957.62,554.186,198.276,3927.73,360.577,199.641,4010.86,81.376,242.422,4072.71,61.5386,248.095,3826.87,48.4764
5,0,468.21,3879.16,1072.09,217.183,3881.41,1070.42,387.208,4072.59,1118.07,300.641,4072.86,1121.76,515.623,3867.26,772.711,517.317,3942.88,557.158,506.209,3919.48,403.303,487.262,4008.38,79.2456,446.959,4071.03,54.9439,436.027,3823.22,43.0453,163.319,3889.53,759.633,171.52,3957.61,554.174,198.273,3927.76,360.594,199.633,4010.86,81.3619,242.419,4072.64,61.5266,248.106,3826.85,48.4676
6,0,468.176,3879.21,1072.1,217.05,3881.47,1070.5,387.195,4072.62,1118.06,300.638,4072.89,1121.75,515.621,3867.28,772.718,517.302,3942.91,557.163,506.217,3919.5,403.303,487.266,4008.39,79.2542,446.965,4071.02,54.953,436.002,3823.23,43.0401,163.323,3889.52,759.643,171.518,3957.61,554.186,198.283,3927.78,360.585,199.625,4010.85,81.3594,242.491,4072.71,61.5627,248.083,3826.88,48.4578
7,0,468.185,3879.24,1072.1,217.142,3881.44,1070.44,387.176,4072.67,1118.06,300.628,4072.91,1121.73,515.628,3867.31,772.728,517.297,3942.92,557.18,506.196,3919.52,403.303,487.279,4008.4,79.2479,446.937,4071.04,54.9609,436.031,3823.23,43.0414,163.328,3889.52,759.656,171.483,3957.63,554.196,198.287,3927.74,360.592,199.638,4010.87,81.379,242.393,4072.67,61.5339,248.106,3826.86,48.4629
8,0,468.168,3879.28,1072.12,217.027,3881.51,1070.53,387.162,4072.72,1118.05,300.612,4072.95,1121.74,515.609,3867.32,772.741,517.289,3942.94,557.187,506.192,3919.53,403.312,487.278,4008.38,79.2724,446.969,4071.03,54.9534,436.031,3823.22,43.0421,163.315,3889.55,759.654,171.502,3957.6,554.196,198.25,3927.76,360.589,199.648,4010.85,81.3682,242.392,4072.66,61.5173,248.078,3826.87,48.4612
9,0,468.156,3879.32,1072.14,217.128,3881.5,1070.47,387.146,4072.75,1118.06,300.606,4072.97,1121.73,515.597,3867.37,772.754,517.293,3942.95,557.188,506.192,3919.54,403.321,487.277,4008.39,79.2627,446.948,4071.06,54.9507,436.011,3823.22,43.036,163.307,3889.54,759.667,171.498,3957.62,554.192,198.253,3927.75,360.604,199.625,4010.87,81.363,242.374,4072.68,61.526,248.075,3826.91,48.4485
10,0,468.124,3879.37,1072.17,217.106,3881.53,1070.47,387.13,4072.8,1118.07,300.583,4073.02,1121.74,515.582,3867.39,772.765,517.28,3942.96,557.191,506.186,3919.53,403.334,487.281,4008.4,79.2753,446.949,4071.03,54.9564,436.014,3823.24,43.0467,163.304,3889.54,759.681,171.481,3957.62,554.198,198.252,3927.77,360.603,199.629,4010.89,81.3928,242.453,4072.68,61.5686,248.084,3826.87,48.4381
11,0,468.092,3879.42,1072.23,217.137,3881.56,1070.48,387.117,4072.84,1118.06,300.558,4073.06,1121.71,515.57,3867.42,772.775,517.275,3942.97,557.205,506.19,3919.55,403.349,487.279,4008.39,79.2638,446.986,4071.04,54.9366,436.025,3823.23,43.0446,163.302,3889.55,759.682,171.479,3957.63,554.206,198.291,3927.75,360.611,199.725,4010.79,81.4101,242.285,4072.63,61.4711,248.068,3826.9,48.4588
12,0,468.124,3879.44,1072.17,217.039,3881.59,1070.55,387.106,4072.87,1118.07,300.552,4073.08,1121.72,515.554,3867.43,772.777,517.273,3942.98,557.204,506.167,3919.55,403.325,487.277,4008.41,79.2711,446.964,4071.05,54.9384,435.98,3823.24,43.0282,163.288,3889.56,759.684,171.467,3957.61,554.204,198.294,3927.73,360.628,199.65,4010.85,81.3964,242.48,4072.74,61.5915,248.079,3826.86,48.4515
13,0,468.125,3879.49,1072.18,217.052,3881.62,1070.54,387.105,4072.9,1118.07,300.532,4073.12,1121.72,515.573,3867.46,772.79,517.257,3942.99,557.21,506.167,3919.55,403.334,487.27,4008.4,79.2669,446.977,4071.04,54.947,435.995,3823.24,43.0415,163.321,3889.57,759.69,171.471,3957.61,554.205,198.299,3927.72,360.631,199.654,4010.83,81.3946,242.511,4072.67,61.5999,248.069,3826.89,48.4718
14,0,468.114,3879.52,1072.19,217.037,3881.64,1070.55,387.085,4072.94,1118.06,300.512,4073.16,1121.7,515.566,3867.47,772.794,517.259,3942.99,557.209,506.152,3919.56,403.333,487.271,4008.41,79.2887,446.978,4071.04,54.9453,435.991,3823.21,43.0101,163.311,3889.56,759.698,171.47,3957.61,554.208,198.313,3927.7,360.628,199.665,4010.85,81.3979,242.378,4072.7,61.5395,248.07,3826.9,48.4575
