Trajectories
200
,,F2:LASI,,,F2:RASI,,,F2:LPSI,,,F2:RPSI,,,F2:LTHI,,,F2:LKNE,,,F2:LTIB,,,F2:LANK,,,F2:LHEE,,,F2:LTOE,,,F2:RTHI,,,F2:RKNE,,,F2:RTIB,,,F2:RANK,,,F2:RHEE,,,F2:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-478.37,3754.22,981.105,-722.479,3767.26,989.693,-549.349,3960.65,1032.19,,,,-416.259,3856.74,698.865,-446.131,3872.3,511.178,-443.701,3905.57,419.341,-494.947,3920.84,98.2062,-533.142,3976.38,64.4336,-570.173,3768.53,62.178,-746.989,3791.6,673.49,-748.979,3895.72,490.48,-726.711,3872.3,331.921,-710.177,3927.43,91.3547,-670.761,3978.18,56.0964,-652.554,3764,63.0584
2,0,-478.264,3754.17,981.123,-722.055,3767.39,989.774,-549.392,3960.59,1032.15,,,,-415.878,3852.15,697.748,-446.115,3872.28,511.171,-443.707,3905.59,419.348,-494.935,3920.84,98.2111,-533.16,3976.39,64.4368,-570.148,3768.53,62.1803,-747.147,3791.21,673.676,-749.09,3895.27,490.812,-726.841,3872.06,332.065,-710.148,3927.44,91.3423,-670.764,3978.16,56.0971,-652.561,3764.05,63.0795
3,0,-478.443,3754.3,981.134,-721.953,3767.13,989.51,-549.434,3960.54,1032.13,,,,-415.849,3852.2,697.807,-446.091,3872.27,511.184,-443.672,3905.58,419.338,-494.939,3920.84,98.2015,-533.164,3976.39,64.4385,-570.148,3768.53,62.1847,-747.047,3790.57,674.086,-748.451,3895.76,490.037,-726.465,3872.21,331.753,-710.12,3927.44,91.3644,-670.769,3978.16,56.106,-652.556,3764.05,63.071
4,0,-478.461,3754.28,981.133,-721.826,3766.9,989.413,-549.498,3960.52,1032.09,,,,-415.694,3852.42,697.854,-446.037,3872.27,511.177,-443.679,3905.59,419.347,-494.945,3920.86,98.2166,-533.175,3976.39,64.4328,-570.12,3768.52,62.1899,-746.796,3790.44,674.045,-748.841,3894.99,490.745,-726.609,3871.94,331.931,-710.143,3927.41,91.3703,-670.773,3978.16,56.1127,-652.525,3764,63.0563
5,0,-478.323,3754.24,981.171,-722.487,3766.42,990.387,-549.585,3960.5,1032.05,,,,-415.627,3852.54,697.891,-446.036,3872.27,511.185,-446.688,3905.87,419.008,-494.949,3920.86,98.2165,-533.188,3976.38,64.4318,-570.131,3768.53,62.2036,-746.778,3790.19,674.1,-748.681,3895.09,490.48,-726.915,3867.34,336.792,-710.173,3927.39,91.3893,-670.788,3978.12,56.0964,-652.53,3764.01,63.0567
6,0,-478.235,3754.2,981.212,-721.908,3766.69,990.433,-549.654,3960.47,1032.01,,,,-409.628,3848.23,692.94,-445.994,3872.26,511.2,-446.656,3905.87,419.006,-494.946,3920.86,98.2283,-533.189,3976.36,64.432,-570.115,3768.51,62.193,-746.642,3789.92,674.14,-748.622,3894.81,490.469,-726.9,3867.19,336.772,-710.242,3927.32,91.4364,-670.81,3978.08,56.0737,-652.537,3764.02,63.0585
7,0,-478.105,3754.17,981.243,-721.604,3766.39,989.669,-549.736,3960.44,1031.98,,,,-415.511,3852.66,697.921,-446.011,3872.27,511.202,-443.705,3905.63,419.384,-494.958,3920.86,98.2341,-533.359,3976.17,64.3554,-570.129,3768.52,62.1949,-746.586,3789.53,674.281,-748.606,3894.7,490.439,-727.31,3867.06,336.375,-710.162,3927.39,91.3439,-670.812,3978.05,56.076,-652.518,3763.99,63.044
8,0,-478.104,3754.17,981.291,-721.471,3766.15,989.713,-549.848,3960.43,1031.94,,,,-415.463,3852.69,697.914,-446.015,3872.28,511.219,-443.735,3905.64,419.413,-494.975,3920.89,98.2581,-533.237,3976.33,64.432,-570.105,3768.51,62.1883,-746.561,3789.2,674.359,-748.595,3894.53,490.497,-727.251,3866.94,336.342,-710.145,3927.36,91.2448,-670.829,3978.02,56.0634,-652.515,3764,63.0457
9,0,-477.95,3754.14,981.291,-721.417,3766.02,989.855,-549.977,3960.39,1031.89,,,,-415.421,3852.74,697.93,-445.982,3872.3,511.224,-443.748,3905.67,419.424,-494.975,3920.89,98.2685,-533.241,3976.3,64.4193,-570.109,3768.5,62.1997,-746.304,3788.93,674.343,-748.522,3894.45,490.355,-727.225,3866.8,336.375,-710.145,3927.32,91.2737,-670.852,3977.98,56.0384,-652.518,3764.01,63.0476
