Trajectories
200
,,F2:LASI,,,F2:RASI,,,F2:LPSI,,,F2:RPSI,,,F2:LTHI,,,F2:LKNE,,,F2:LTIB,,,F2:LANK,,,F2:LHEE,,,F2:LTOE,,,F2:RTHI,,,F2:RKNE,,,F2:RTIB,,,F2:RANK,,,F2:RHEE,,,F2:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-460.024,3763.36,979.951,-704.039,3757.17,987.324,-541.486,3963.41,1035.85,,,,-407.962,3863.32,698.175,-440.646,3875.5,511.216,-445.315,3906.68,418.032,-494.002,3907.26,98.5871,-540.579,3958.65,63.317,-561.922,3749.3,62.8743,-729.184,3778.14,674.069,-735.688,3883.15,489.439,-713.328,3858.35,332.08,-698.102,3912.52,91.6933,-658.323,3964.4,56.6293,-640.555,3750.03,63.0113
2,0,-459.855,3765.33,978.668,-704.225,3757.23,987.494,-541.428,3963.33,1035.84,,,,-407.906,3863.32,698.176,-440.582,3875.56,511.225,-445.393,3906.73,418.116,-497.369,3907.59,97.838,-540.552,3958.65,63.3075,-561.637,3749.21,62.9401,-729.284,3778.16,674.066,-735.837,3882.86,489.739,-713.186,3858.37,331.942,-698.105,3912.53,91.6476,-658.326,3964.38,56.6342,-640.515,3750.01,63.0081
3,0,-460.409,3763.76,979.731,-704.147,3757.2,987.439,-541.371,3963.3,1035.83,,,,-407.854,3863.29,698.178,-440.506,3875.62,511.219,-445.318,3906.81,418.115,-493.967,3907.3,98.5323,-540.543,3958.66,63.303,-561.762,3749.27,62.9219,-729.479,3778.21,673.834,-735.676,3883.04,489.497,-713.129,3858.39,331.893,-698.046,3912.57,91.6917,-658.299,3964.43,56.6675,-640.57,3749.99,62.9771
4,0,-460.459,3763.66,979.748,-704.159,3757.17,987.453,-541.311,3963.22,1035.81,,,,-407.803,3863.26,698.18,-440.419,3875.67,511.219,-445.258,3906.87,418.117,-497.295,3907.64,97.823,-540.51,3958.66,63.3046,-561.649,3749.24,62.9434,-729.594,3778.3,673.815,-735.605,3883.06,489.337,-713.212,3858.27,331.943,-697.992,3912.52,91.576,-658.321,3964.37,56.6527,-640.558,3750,62.9992
5,0,-460.448,3763.58,979.709,-704.184,3757.49,988.158,-541.224,3963.23,1035.8,,,,-407.746,3863.23,698.178,-440.362,3875.71,511.219,-445.204,3906.91,418.108,-493.893,3907.33,98.5257,-540.469,3958.65,63.3018,-561.781,3749.3,62.9229,-729.528,3778.07,674.056,-735.669,3882.95,489.472,-713.327,3858.15,332.054,-697.962,3912.6,91.5648,-658.302,3964.4,56.6768,-640.565,3750,62.983
6,0,-460.581,3763.48,979.75,-704.255,3757.22,987.625,-541.138,3963.23,1035.79,,,,-407.684,3863.2,698.178,-440.294,3875.74,511.227,-445.128,3906.93,418.104,-493.891,3907.33,98.5142,-540.479,3958.68,63.2906,-561.593,3749.24,62.9923,-729.418,3777.98,674.249,-735.663,3882.92,489.419,-713.189,3858.21,331.889,-697.972,3912.6,91.5444,-658.333,3964.3,56.6452,-640.231,3749.6,62.8443
7,0,-460.482,3763.3,979.734,-704.269,3757.22,987.637,-540.73,3964.24,1035.84,,,,-407.637,3863.16,698.177,-440.23,3875.75,511.228,-445.058,3906.94,418.109,-493.88,3907.36,98.4948,-540.471,3958.68,63.2931,-561.621,3749.26,62.9783,-729.427,3777.88,674.296,-735.62,3882.9,489.506,-714.749,3854.45,336.021,-698.005,3912.57,91.5652,-658.534,3963.28,56.1199,-640.51,3749.9,62.9539
8,0,-460.55,3763.18,979.767,-704.459,3757.27,987.752,-540.655,3964.18,1035.82,,,,-407.587,3863.11,698.179,-440.176,3875.75,511.229,-444.987,3906.94,418.107,-493.862,3907.36,98.4756,-540.415,3958.67,63.2836,-561.644,3749.26,62.9806,-729.52,3777.83,674.389,-735.57,3882.84,489.36,-713.342,3857.97,332.05,-698,3912.55,91.6465,-658.54,3963.73,56.4219,-640.483,3749.88,62.9541
9,0,-461.016,3762.89,980.194,-704.515,3757.25,987.826,-540.812,3963.43,1035.78,,,,-407.536,3863.06,698.179,-440.146,3875.74,511.22,-444.921,3906.92,418.11,-493.834,3907.35,98.4841,-540.407,3958.68,63.2802,-561.745,3749.3,62.9541,-729.662,3777.87,674.282,-735.516,3882.79,489.494,-713.572,3857.69,332.388,-698.063,3912.53,91.6778,-658.551,3963.7,56.413,-640.226,3749.57,62.8388
