Trajectories
200
,,F2:LASI,,,F2:RASI,,,F2:LPSI,,,F2:RPSI,,,F2:LTHI,,,F2:LKNE,,,F2:LTIB,,,F2:LANK,,,F2:LHEE,,,F2:LTOE,,,F2:RTHI,,,F2:RKNE,,,F2:RTIB,,,F2:RANK,,,F2:RHEE,,,F2:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-468.429,3752.24,981.628,-708.785,3753.23,984.475,-554.662,3953.94,1033.79,,,,-413.408,3852.38,699.167,-442.137,3863.83,511.714,,,,-485.516,3902.63,99.4781,-532.002,3953.72,62.573,-546.89,3743.56,61.579,-740.247,3768.72,674.348,-748.737,3870.42,490.158,-727.24,3845.07,332.543,-719.34,3889.76,98.1708,-678.366,3949.42,56.4156,-652.111,3736.04,62.9811
2,0,-468.514,3752.26,981.659,-711.38,3749.86,988.246,-554.622,3953.97,1033.79,,,,-413.4,3852.4,699.169,-442.114,3863.84,511.727,-444.068,3895.71,419.476,-485.553,3902.64,99.4698,-532.005,3953.73,62.577,-546.888,3743.57,61.5848,-740.164,3768.75,674.303,-748.674,3870.43,490.176,-727.242,3845.07,332.562,-719.347,3889.76,98.1811,-678.378,3949.68,56.5599,-652.109,3736.04,62.981
3,0,-468.797,3752.46,981.644,-711.613,3749.19,988.564,-551.484,3955.19,1034.63,,,,-413.384,3852.41,699.164,-442.125,3863.83,511.717,-444.059,3895.73,419.484,-485.519,3902.63,99.4841,-532.011,3953.72,62.5714,-546.911,3743.57,61.5797,-740.208,3767.82,675.315,-748.781,3870.41,490.314,-728.194,3840.35,337.389,-719.321,3889.78,98.1968,-678.389,3949.68,56.564,-652.111,3736.03,62.9809
4,0,-468.787,3752.49,981.661,-711.613,3749.17,988.605,-551.477,3955.23,1034.64,,,,-413.373,3852.42,699.17,-442.112,3863.84,511.707,-444.051,3895.73,419.476,-485.569,3902.63,99.4778,-532,3953.72,62.5828,-546.905,3743.56,61.5794,-740.207,3767.85,675.314,-748.766,3870.39,490.274,-728.197,3840.34,337.406,-719.35,3889.76,98.1785,-678.393,3949.69,56.5768,-652.107,3736.03,62.9819
5,0,-468.774,3752.51,981.685,-711.468,3749.66,988.456,-551.473,3955.28,1034.62,,,,-413.356,3852.43,699.17,-442.106,3863.84,511.727,-444.033,3895.73,419.477,-486.281,3902.63,98.8764,-532.012,3953.72,62.5707,-546.902,3743.57,61.5977,-740.217,3767.95,675.251,-748.602,3870.49,490.141,-728.187,3840.35,337.357,-719.359,3889.73,98.1551,-678.391,3949.67,56.5638,-652.114,3736.03,62.9832
6,0,-468.792,3752.53,981.706,-711.366,3750.1,988.136,-551.453,3955.3,1034.61,,,,-413.347,3852.45,699.164,-442.103,3863.83,511.728,-444.026,3895.72,419.477,-485.569,3902.64,99.4946,-531.99,3953.71,62.5709,-546.897,3743.57,61.5969,-740.268,3768.21,675.01,-748.729,3870.44,490.273,-728.238,3840.36,337.309,-719.366,3889.75,98.1667,-678.398,3949.62,56.5361,-652.088,3736,62.9817
7,0,-468.754,3752.56,981.714,-711.553,3749.38,988.539,-551.462,3955.34,1034.59,,,,-413.33,3852.47,699.162,-442.125,3863.84,511.73,-443.931,3895.76,419.546,-485.634,3902.64,99.4846,-532.005,3953.71,62.5735,-546.891,3743.57,61.6042,-740.162,3768.07,675.185,-748.693,3870.52,490.149,-728.305,3840.37,337.355,-719.372,3889.7,98.1257,-678.408,3949.6,56.5308,-652.083,3736.01,62.9841
8,0,-468.817,3752.6,981.751,-711.58,3749.39,988.552,-551.463,3955.38,1034.59,,,,-413.326,3852.48,699.167,-442.126,3863.84,511.729,-444,3895.73,419.481,-485.625,3902.65,99.4983,-531.852,3953.95,62.7003,-546.889,3743.56,61.6166,-740.244,3768.1,675.165,-748.724,3870.42,490.323,-728.287,3840.36,337.344,-719.364,3889.75,98.1697,-678.413,3949.56,56.5119,-652.093,3736.01,62.9792
9,0,-468.809,3752.61,981.789,-711.628,3749.41,988.66,-551.455,3955.41,1034.58,,,,-413.318,3852.5,699.17,-442.118,3863.84,511.729,-443.997,3895.73,419.479,-485.677,3902.66,99.4836,-531.985,3953.68,62.5675,-546.881,3743.57,61.6185,-740.341,3768.24,675.078,-748.649,3870.45,490.326,-728.267,3840.36,337.325,-719.378,3889.71,98.1272,-678.425,3949.54,56.508,-652.092,3736.01,62.9734
