Trajectories
200
,,F2:LASI,,,F2:RASI,,,F2:LPSI,,,F2:RPSI,,,F2:LTHI,,,F2:LKNE,,,F2:LTIB,,,F2:LANK,,,F2:LHEE,,,F2:LTOE,,,F2:RTHI,,,F2:RKNE,,,F2:RTIB,,,F2:RANK,,,F2:RHEE,,,F2:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-484.471,3761.36,981.714,-727.812,3757.29,990.923,-570.479,3962.44,1036.24,,,,-428.067,3857.67,700.165,-457.248,3866.19,512.366,,,,-501.22,3901.58,98.9551,-543.197,3955.33,63.0902,-572.739,3746.5,62.5945,-755.447,3779.11,674.422,-757.1,3880.71,489.727,-734.589,3855.78,331.495,-721.229,3902.37,97.9318,-677.707,3960.43,56.7399,-660.543,3745.97,63.2687
2,0,-484.342,3761.39,981.653,-727.714,3757.22,990.937,-564.52,3959.37,1037.54,-646.678,3959.12,1037.94,-428.079,3857.75,700.176,-457.986,3866.32,511.974,-455.978,3896.36,419.435,-501.148,3901.58,99.0011,-543.173,3955.3,63.0747,-572.739,3746.5,62.5944,-755.402,3779.13,674.337,-757.011,3880.68,489.61,-734.62,3855.81,331.431,-721.247,3902.5,98.0115,-677.707,3960.44,56.7448,-660.536,3745.97,63.2653
3,0,-484.322,3761.42,981.656,-727.846,3757.14,990.952,-564.411,3963.66,1037.72,-643.443,3961.9,1038.83,-428.091,3857.83,700.189,-458.038,3866.39,512.084,-456.023,3896.43,419.51,-501.06,3901.6,99.083,-543.188,3955.31,63.088,-572.726,3746.5,62.5949,-755.594,3777.95,675.581,-757.024,3880.63,489.683,-734.477,3855.92,331.311,-721.242,3902.44,97.9778,-677.727,3960.48,56.7558,-660.535,3745.98,63.2657
4,0,-484.305,3761.44,981.669,-727.736,3757.1,990.881,-570.894,3962.41,1036.2,-646.799,3959.13,1038.01,-428.09,3857.92,700.191,-458.017,3866.48,511.964,-456.022,3896.49,419.496,-501.132,3901.6,99.0102,-543.189,3955.31,63.0915,-572.708,3746.5,62.6032,-755.577,3778.03,675.479,-757.07,3880.68,489.58,-734.532,3855.88,331.411,-721.243,3902.31,97.9093,-677.736,3960.42,56.7139,-660.506,3745.95,63.2641
5,0,-484.226,3761.44,981.661,-727.721,3757.04,990.944,-564.388,3963.37,1037.89,-646.855,3959.09,1038.04,-428.089,3858,700.199,-458.029,3866.54,512.088,-458.291,3896.75,419.412,-501.226,3901.59,98.9632,-543.203,3955.31,63.093,-572.719,3746.49,62.608,-755.563,3777.94,675.485,-757.083,3880.65,489.636,-734.739,3855.67,331.603,-721.241,3902.3,97.9061,-677.755,3960.36,56.6767,-660.507,3745.95,63.26
6,0,-484.535,3761.73,981.675,-727.715,3757.01,990.899,-570.553,3962.5,1036.46,-646.904,3959.05,1038.06,-428.091,3858.07,700.213,-457.26,3866.59,512.406,-456.099,3896.63,419.52,-501.201,3901.61,99.0185,-543.187,3955.3,63.084,-572.709,3746.49,62.6127,-755.462,3778.1,675.306,-757.132,3880.65,489.719,-734.759,3855.62,331.707,-721.25,3902.31,97.9119,-677.751,3960.41,56.7073,-660.526,3745.98,63.2658
7,0,-484.35,3761.57,981.696,-727.726,3756.92,990.939,-570.573,3962.34,1036.41,-646.942,3959.01,1038.08,-428.089,3858.16,700.216,-457.924,3866.69,512.111,-455.964,3896.69,419.491,-501.126,3901.62,99.0748,-543.2,3955.3,63.0848,-572.691,3746.5,62.626,-755.451,3777.85,675.493,-757.067,3880.67,489.648,-736.629,3849.51,338.387,-721.25,3902.35,97.9227,-677.753,3960.4,56.7132,-660.522,3745.96,63.2624
8,0,-484.614,3761.81,981.72,-727.555,3756.82,990.882,-570.806,3962.34,1036.3,-646.992,3958.98,1038.11,-428.084,3858.24,700.224,-457.923,3866.76,512.163,-456.111,3896.76,419.521,-501.176,3901.62,99.0497,-543.206,3955.28,63.0726,-572.694,3746.49,62.6239,-755.448,3777.81,675.493,-757.044,3880.69,489.596,-734.813,3855.57,331.772,-721.246,3902.41,97.9434,-677.763,3960.39,56.7068,-660.508,3745.95,63.2596
9,0,-484.252,3761.54,981.685,-727.69,3756.9,991.186,-564.837,3959.28,1037.73,-647.017,3958.88,1038.11,-428.086,3858.3,700.236,-457.249,3866.81,512.434,-455.954,3896.82,419.513,-501.183,3901.63,99.0534,-543.194,3955.28,63.0715,-572.699,3746.49,62.6246,-755.525,3777.83,675.392,-756.962,3880.72,489.551,-735.684,3851.05,336.459,-721.263,3902.38,97.9312,-677.756,3960.36,56.6951,-660.51,3745.97,63.2618
