Trajectories
200
,,M6:LASI,,,M6:RASI,,,M6:LPSI,,,M6:RPSI,,,M6:LTHI,,,M6:LKNE,,,M6:LTIB,,,M6:LANK,,,M6:LHEE,,,M6:LTOE,,,M6:RTHI,,,M6:RKNE,,,M6:RTIB,,,M6:RANK,,,M6:RHEE,,,M6:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,510.572,3709.45,1110.63,247.839,3690.76,1104.43,406.224,3915.1,1174.19,324.333,3907.57,1176.94,559.934,3851.5,790.137,541.66,3850.33,558.376,561.514,3883.4,406.494,551.174,3909.04,85.0729,493.31,3969.15,63.8931,533.427,3729.03,43.9737,153.283,3834.31,849.543,170.671,3824.3,578.995,145.08,3890.83,404.127,157.398,3899.31,94.4452,202.485,3954.4,61.1529,214.787,3710.04,52.5909
2,0,510.583,3709.43,1110.65,247.878,3690.77,1104.41,406.224,3915.12,1174.2,324.339,3907.59,1176.96,559.922,3851.51,790.141,541.644,3850.33,558.371,561.476,3883.39,406.484,551.191,3909.02,85.0781,493.302,3969.14,63.8709,533.399,3729.08,43.9451,153.276,3834.31,849.553,170.665,3824.31,578.99,145.012,3890.84,404.186,157.395,3899.31,94.4338,202.475,3954.4,61.1512,214.784,3710.06,52.5938
3,0,509.775,3707.4,1111.7,247.805,3690.78,1104.43,406.222,3915.12,1174.19,324.319,3907.61,1176.94,559.914,3851.52,790.131,541.662,3850.33,558.373,561.483,3883.38,406.475,551.219,3908.99,85.0955,493.294,3969.17,63.8938,533.422,3729.11,43.9636,153.275,3834.31,849.543,170.66,3824.34,579.001,144.995,3890.8,404.201,157.388,3899.33,94.451,202.489,3954.42,61.1764,213.568,3710.21,52.5417
4,0,509.715,3707.42,1111.68,246.51,3689.75,1105.09,406.211,3915.14,1174.19,324.312,3907.63,1176.95,559.903,3851.52,790.138,541.646,3850.33,558.374,561.466,3883.4,406.473,551.191,3909,85.0801,493.296,3969.17,63.8979,533.453,3729.05,43.9746,153.27,3834.32,849.551,170.649,3824.32,578.985,142.918,3888.92,406.619,157.383,3899.3,94.4292,202.477,3954.42,61.1697,213.547,3710.23,52.5341
5,0,509.736,3707.45,1111.7,246.854,3689.77,1105.15,406.207,3915.16,1174.2,324.303,3907.63,1176.95,559.903,3851.53,790.13,541.613,3850.33,558.364,561.453,3883.37,406.472,551.181,3909.03,85.0571,493.288,3969.17,63.8941,533.394,3729.06,43.9529,153.264,3834.31,849.556,170.651,3824.34,578.992,145.002,3890.82,404.161,157.374,3899.36,94.4711,202.484,3954.41,61.1691,213.57,3710.22,52.5479
6,0,509.764,3707.48,1111.69,246.849,3689.82,1105.12,406.208,3915.17,1174.22,324.289,3907.67,1176.95,559.901,3851.52,790.128,541.615,3850.34,558.377,561.448,3883.38,406.474,548.768,3910.93,84.1124,493.291,3969.19,63.8973,533.488,3729.14,43.9766,153.259,3834.32,849.552,170.617,3824.32,579.001,144.922,3890.74,404.203,157.389,3899.3,94.4364,202.497,3954.4,61.1591,213.625,3710.19,52.5525
7,0,509.752,3707.5,1111.7,246.95,3689.92,1105.06,406.199,3915.17,1174.22,324.284,3907.68,1176.96,559.896,3851.53,790.128,541.586,3850.35,558.377,561.591,3883.41,406.519,551.089,3909.07,85.024,493.315,3969.14,63.8865,533.478,3729.08,43.9877,153.262,3834.31,849.542,170.629,3824.32,579.008,144.894,3890.72,404.261,157.357,3899.36,94.4767,202.472,3954.39,61.1473,213.574,3710.22,52.5271
8,0,509.707,3707.52,1111.73,246.815,3689.87,1105.13,406.19,3915.19,1174.22,324.267,3907.71,1176.95,559.884,3851.52,790.126,541.577,3850.35,558.383,561.438,3883.39,406.487,551.059,3909.1,85.0489,493.301,3969.18,63.8959,533.527,3729.14,43.9972,153.249,3834.32,849.539,170.627,3824.34,579.015,144.846,3890.67,404.272,157.361,3899.36,94.4766,202.494,3954.43,61.1773,213.541,3710.23,52.512
9,0,509.692,3707.52,1111.72,246.802,3689.88,1105.13,406.168,3915.21,1174.21,324.257,3907.72,1176.94,559.882,3851.53,790.127,541.547,3850.35,558.38,561.438,3883.4,406.481,551.056,3909.11,85.062,493.301,3969.15,63.882,533.498,3729.14,43.9839,153.248,3834.32,849.536,170.6,3824.35,579.018,144.783,3890.66,404.283,157.343,3899.35,94.4757,202.499,3954.41,61.1685,213.564,3710.18,52.5104
10,0,509.63,3707.58,1111.76,246.785,3689.9,1105.12,406.153,3915.23,1174.22,324.246,3907.75,1176.94,559.879,3851.53,790.112,541.532,3850.35,558.38,561.408,3883.39,406.462,551.076,3909.1,85.0571,493.313,3969.14,63.8837,533.511,3729.13,43.9978,153.233,3834.33,849.518,170.595,3824.37,579.023,144.836,3890.71,404.266,157.357,3899.36,94.4992,202.516,3954.39,61.1676,213.569,3710.19,52.5083
11,0,509.634,3707.57,1111.77,246.7,3689.87,1105.15,406.145,3915.24,1174.21,324.221,3907.76,1176.93,559.859,3851.53,790.104,541.523,3850.37,558.378,561.413,3883.41,406.469,551.076,3909.07,85.0708,493.333,3969.1,63.8829,533.547,3729.13,44.0217,153.219,3834.36,849.513,170.6,3824.36,579.027,142.85,3888.99,406.475,157.362,3899.35,94.4976,202.471,3954.41,61.1402,213.572,3710.22,52.5179
12,0,509.632,3707.59,1111.8,246.442,3689.9,1105.1,406.122,3915.25,1174.2,324.214,3907.78,1176.95,559.862,3851.55,790.103,541.496,3850.37,558.379,561.424,3883.41,406.46,551.073,3909.07,85.0657,493.339,3969.14,63.905,533.551,3729.15,44.0137,153.205,3834.37,849.51,170.584,3824.37,579.024,142.834,3889,406.44,157.343,3899.34,94.4765,202.493,3954.4,61.131,213.543,3710.22,52.5049
13,0,509.694,3707.58,1111.81,246.449,3689.88,1105.13,406.121,3915.27,1174.21,324.203,3907.79,1176.93,559.868,3851.56,790.096,541.505,3850.38,558.373,561.39,3883.42,406.451,551.01,3909.15,85.0421,493.327,3969.11,63.8792,533.66,3729.09,44.0552,153.203,3834.38,849.492,170.587,3824.37,579.031,142.833,3889.01,406.438,157.363,3899.35,94.503,202.502,3954.41,61.145,213.581,3710.24,52.5291
14,0,510.192,3709.59,1110.84,246.413,3689.87,1105.12,406.102,3915.28,1174.2,324.181,3907.81,1176.92,559.871,3851.57,790.087,541.49,3850.39,558.38,561.428,3883.41,406.474,551.05,3909.11,85.0611,493.316,3969.14,63.8976,533.54,3729.15,44.0165,153.198,3834.37,849.472,170.578,3824.39,579.038,142.795,3889.02,406.453,157.348,3899.42,94.5529,202.502,3954.4,61.1367,213.547,3710.21,52.4955
15,0,509.657,3707.6,1111.82,246.607,3689.86,1105.2,406.089,3915.31,1174.21,324.168,3907.83,1176.92,559.86,3851.57,790.1,541.461,3850.39,558.363,561.389,3883.43,406.463,548.804,3910.86,84.1297,493.327,3969.11,63.8679,533.599,3729.09,44.0456,153.189,3834.39,849.477,170.587,3824.39,579.025,144.858,3890.75,404.277,157.353,3899.37,94.5116,202.717,3954.29,61.2292,213.522,3710.21,52.4786
16,0,509.617,3707.79,1111.67,246.529,3689.82,1105.24,406.08,3915.33,1174.2,324.163,3907.84,1176.92,559.862,3851.58,790.09,541.488,3850.39,558.373,561.381,3883.42,406.444,548.852,3910.87,84.1543,493.34,3969.12,63.9014,533.551,3729.11,44.0291,153.18,3834.41,849.49,170.585,3824.38,579.018,144.807,3890.69,404.306,157.326,3899.4,94.5048,202.611,3954.35,61.1822,213.507,3710.22,52.4919
17,0,509.629,3707.79,1111.7,246.449,3689.79,1105.29,406.07,3915.34,1174.19,324.152,3907.86,1176.92,559.87,3851.6,790.102,541.485,3850.39,558.367,561.377,3883.42,406.451,548.805,3910.86,84.1216,493.329,3969.12,63.8833,533.503,3729.16,44.0017,153.167,3834.41,849.475,170.597,3824.37,579.019,142.818,3889.03,406.403,157.308,3899.41,94.4962,202.601,3954.33,61.1655,213.512,3710.23,52.5054
18,0,509.652,3707.76,1111.72,246.532,3689.83,1105.25,406.07,3915.35,1174.18,324.15,3907.88,1176.92,559.855,3851.6,790.098,541.479,3850.4,558.37,561.367,3883.42,406.443,550.968,3909.17,85.035,493.341,3969.1,63.889,533.539,3729.16,44.0111,153.153,3834.43,849.48,170.573,3824.39,579.02,142.791,3889.03,406.383,157.383,3899.36,94.5081,202.608,3954.35,61.1805,213.537,3710.23,52.4994
19,0,509.66,3707.75,1111.71,246.481,3689.83,1105.27,406.059,3915.36,1174.17,324.138,3907.91,1176.91,559.847,3851.61,790.098,541.455,3850.39,558.365,561.38,3883.42,406.451,550.999,3909.15,85.0497,493.326,3969.13,63.891,533.564,3729.08,44.0425,153.146,3834.42,849.451,170.578,3824.36,578.997,142.777,3889,406.392,157.327,3899.37,94.4785,202.609,3954.35,61.1829,213.532,3710.21,52.4929
20,0,509.649,3707.73,1111.73,246.267,3689.86,1105.22,406.048,3915.37,1174.16,324.133,3907.91,1176.9,559.838,3851.62,790.093,541.458,3850.39,558.357,561.382,3883.42,406.468,550.991,3909.16,85.043,493.323,3969.12,63.8868,533.532,3729.12,44.0157,153.128,3834.45,849.462,170.549,3824.39,579.016,144.731,3890.61,404.307,157.379,3899.38,94.52,202.614,3954.37,61.1798,213.526,3710.22,52.4942
21,0,509.566,3707.74,1111.77,246.387,3689.84,1105.27,406.046,3915.38,1174.14,324.134,3907.93,1176.9,559.835,3851.62,790.091,541.442,3850.4,558.367,561.371,3883.41,406.443,550.984,3909.18,85.0527,493.283,3969.12,63.8437,533.602,3729.11,44.0431,153.124,3834.44,849.457,170.581,3824.37,579.013,144.774,3890.71,404.247,157.322,3899.39,94.4894,202.589,3954.35,61.1671,213.547,3710.19,52.5175
